type,measures,usage_area,apartments,living_area,living_rooms,estimated_costs
Wohn- und Nichtwohngebäude,301,543,1655,1098.1,4043,388190
Wohngebäude zusammen,270,198.8,1653,1096,4040,277781
Wohnheime,2,5.3,26,5.9,46,532
Wohngebäude mit Eigentumswohnungen,41,22.1,207,214.1,706,55108
Öffentliche Bauherren,4,54.6,227,140,562,42370
Unternehmen,91,108.4,1106,629.9,2378,147424
Wohnungsunternehmen,79,100.7,1054,576.6,2191,130149
Immobilienfonds,2,6.9,33,24,81,7531
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,–,–,–,–,–,–
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",10,0.8,19,29.3,106,9744
Private Haushalte,170,36,281,295.1,990,78464
Organisationen ohne Erwerbszweck,5,-0.2,39,30.9,110,9523
Nichtwohngebäude,31,344.2,2,2.1,3,110409
Anstaltsgebäude,–,–,–,–,–,–
Büro- und Verwaltungsgebäude,11,139.5,3,4.4,10,41626
Landwirtschaftliche Betriebsgebäude,–,–,–,–,–,–
Nichtlandwirtschaftliche Betriebsgebäude,13,76.7,–,–,–,16235
Fabrik- und Werkstattgebäude,1,22.4,–,–,–,7750
Handelsgebäude,1,19.2,–,–,–,4138
Warenlagergebäude,5,12.1,–,–,–,2422
Hotels und Gaststätten,3,5.4,–,–,–,1035
Sonstige Nichtwohngebäude,7,128,-1,-2.3,-7,52548
Ausgewählte Infrastrukturgebäude,8,150.5,-1,-2.3,-7,60298
Öffentliche Bauherren,3,105,– 1,"– 2,3",– 7,45264
Unternehmen,22,179.2,–,–,–,44492
Wohnungsunternehmen,6,79.9,–,–,–,21435
Immobilienfonds,–,–,–,–,–,–
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,2,8.7,–,–,–,464
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",14,90.6,–,–,–,22593
Private Haushalte,4,35.8,3,4.4,10,13636
Organisationen o. Erwerbszweck,2,24.1,–,–,–,7017
