type,measures,volume,usage_area,apartments,living_area,living_rooms,estimated_costs
Wohn- und Nichtwohngebäude,171,698,522.2,1512,925.6,3537,308348
Wohngebäude zusammen,152,517,221.4,1512,925.6,3537,220893
Wohngebäude mit 1 Wohnung,93,69,30,93,142.3,505,32276
Wohngebäude mit 2 Wohnungen,4,4,3.4,8,6.5,28,1940
Wohngebäude mit 3 o. m. Wohnungen,54,440,183.3,1384,770.3,2955,186147
Wohnheime,1,4,4.8,27,6.5,49,530
Wohngebäude mit Eigentumswohnungen,22,96,30.8,203,178.8,622,40106
Öffentliche Bauherren,3,94,54.1,227,139,562,41724
Unternehmen,62,312,117.9,1075,577.8,2209,128387
Wohnungsunternehmen,58,295,104.7,1009,538.2,2040,119660
Immobilienfonds,1,10,5.3,29,19.8,69,6536
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–,–
Produzierendes Gewerbe,–,–,–,–,–,–,–
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",3,7,7.9,37,19.8,100,2191
Private Haushalte,87,111,49.4,210,208.7,766,50782
Organisationen ohne Erwerbszweck,–,–,–,–,–,–,–
Nichtwohngebäude,19,181,300.8,–,–,–,87455
Anstaltsgebäude,–,–,–,–,–,–,–
Büro- und Verwaltungsgebäude,6,49,100.3,–,–,–,25464
Landwirtschaftliche Betriebsgebäude,–,–,–,–,–,–,–
Nichtlandwirtschaftliche Betriebsgebäude,9,42,75.9,–,–,–,13605
Fabrik- und Werkstattgebäude,1,14,22.4,–,–,–,7750
Handelsgebäude,1,11,19.2,–,–,–,4138
Warenlagergebäude,3,7,12.8,–,–,–,560
Hotels und Gaststätten,1,1,3.9,–,–,–,267
Sonstige Nichtwohngebäude,4,90,124.6,–,–,–,48386
Ausgewählte Infrastrukturgebäude,5,103,147,–,–,–,56136
Öffentliche Bauherren,2,78,101,–,–,–,41323
Unternehmen,14,80,153.4,–,–,–,35143
Wohnungsunternehmen,5,35,70.3,–,–,–,17381
Immobilienfonds,–,–,–,–,–,–,–
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–,–
Produzierendes Gewerbe,2,5,8.7,–,–,–,464
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",7,40,74.3,–,–,–,17298
Private Haushalte,2,12,23.6,–,–,–,4139
Organisationen o. Erwerbszweck,1,12,22.7,–,–,–,6850
