type,measures,usage_area,apartments,living_area,living_rooms,estimated_costs
Wohn- und Nichtwohngebäude,130,20.8,143,172.5,506,79842
Wohngebäude zusammen,118,-22.6,141,170.4,503,56888
Wohnheime,1,0.6,-1,-0.6,-3,2
Wohngebäude mit Eigentumswohnungen,19,-8.7,4,35.3,84,15002
Öffentliche Bauherren,1,0.5,–,1,–,646
Unternehmen,29,-9.5,31,52.1,169,19037
Wohnungsunternehmen,21,-4,45,38.4,151,10489
Immobilienfonds,1,1.6,4,4.2,12,995
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,–,–,–,–,–,–
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",7,-7.1,-18,9.5,6,7553
Private Haushalte,83,-13.3,71,86.4,224,27682
Organisationen ohne Erwerbszweck,5,-0.2,39,30.9,110,9523
Nichtwohngebäude,12,43.4,2,2.1,3,22954
Anstaltsgebäude,–,–,–,–,–,–
Büro- und Verwaltungsgebäude,5,39.2,3,4.4,10,16162
Landwirtschaftliche Betriebsgebäude,–,–,–,–,–,–
Nichtlandwirtschaftliche Betriebsgebäude,4,0.7,–,–,–,2630
Fabrik- und Werkstattgebäude,–,–,–,–,–,–
Handelsgebäude,–,–,–,–,–,–
Warenlagergebäude,2,-0.8,–,–,–,1862
Hotels und Gaststätten,2,1.5,–,–,–,768
Sonstige Nichtwohngebäude,3,3.4,-1,-2.3,-7,4162
Ausgewählte Infrastrukturgebäude,3,3.4,-1,-2.3,-7,4162
Öffentliche Bauherren,1,4,-1,-2.3,-7,3941
Unternehmen,8,25.8,–,–,–,9349
Wohnungsunternehmen,1,9.6,–,–,–,4054
Immobilienfonds,–,–,–,–,–,–
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,–,–,–,–,–,–
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",7,16.3,–,–,–,5295
Private Haushalte,2,12.1,3,4.4,10,9497
Organisationen o. Erwerbszweck,1,1.4,–,–,–,167
