type_index,type_parent_index,type,buildings,usage_area,apartments,living_area,living_rooms,estimated_costs
0,-1,residential_and_non_residential_buildings,72,30.9,86,71.5,280,81458
1,0,residential_buildings,61,"– 11,8",88,73.7,288,34535
2,1,dormitories,0,0,0,0,0,0
3,1,residential_buildings_with_condominium,16,"– 6,9",35,35.7,120,11772
4,1,public_builders,0,0,0,0,0,0
5,1,companies,22,"– 5,3",54,38,152,22948
6,5,housing_companies,19,"– 5,3",50,34.8,153,21246
7,5,real_estate_funds,3,0,4,3.3,– 1,1702
8,5,agriculture_forestry_animal_husbandry_fishing,0,0,0,0,0,0
9,5,manufacturing_industry,0,0,0,0,0,0
10,5,trade_banking_services_insurance_transport_and_communications,0,0,0,0,0,0
11,1,private_households,39,"– 6,5",34,35.6,136,11587
12,1,non_profit_organizations,0,0,0,0,0,0
13,0,non_residential_buildings,11,42.7,– 2,"– 2,2",– 8,46923
14,13,institution_buildings,0,0,0,0,0,0
15,13,office_and_administration_buildings,4,9,– 1,"– 1,1",– 5,23174
16,13,algricultural_buildings,0,0,0,0,0,0
17,13,non_algricultural_buildings,4,18.1,0,0,0,3445
18,17,factory_and_workshop_buildings,0,0,0,0,0,0
19,17,commercial_buildings,3,4.1,0,0,0,595
20,17,warehouse_buildings,0,0,0,0,0,0
21,17,hotels_and_restaurants,1,14,0,0,0,2850
22,13,other_non_residential_buildings,3,15.6,– 1,"– 1,2",– 3,20304
23,13,selected_infrastructure_buildings,3,15.6,– 1,"– 1,2",– 3,20304
24,13,public_builders,2,11.9,– 1,"– 1,2",– 3,17454
25,13,companies,8,27.4,– 1,"– 1,1",– 5,28735
26,25,housing_companies,0,0,0,0,0,0
27,25,real_estate_funds,4,22.3,0,0,0,27690
28,25,agriculture_forestry_animal_husbandry_fishing,0,0,0,0,0,0
29,25,manufacturing_industry,1,"– 1,0",0,0,0,154
30,25,trade_banking_services_insurance_transport_and_communications,3,6.1,– 1,"– 1,1",– 5,891
31,13,private_households,0,0,0,0,0,0
32,13,non_profit_organisations,1,3.4,0,0,0,734
