type_index,type_parent_index,type,buildings,volume,usage_area,apartments,living_area,living_rooms,estimated_costs
0,-1,residential_and_non_residential_buildings,143,860,501.4,904,584.8,2218,816618
1,0,residential_buildings,121,325,140.0,903,584.2,2216,130760
2,1,residential_buildings_with_1_apartment,86,55,9.5,86,116.6,467,25865
3,1,residential_buildings_with_2_apartments,6,8,5.9,12,14.9,54,3350
4,1,residential_buildings_with_3_or_more_apartments,29,263,124.7,805,452.7,1695,101545
5,1,dormitories,0,0,0.0,0,0.0,0,0
6,1,residential_buildings_with_condominium,14,160,63.7,470,250.1,862,64488
7,1,public_builders,2,11,0.2,38,24.8,98,4030
8,1,companies,27,251,123.4,764,428.5,1588,97966
9,8,housing_companies,21,168,82.7,529,326.1,1173,75145
10,8,real_estate_funds,1,7,0.9,24,18.1,96,5856
11,8,agriculture_forestry_animal_husbandry_fishing,0,0,0.0,0,0.0,0,0
12,8,manufacturing_industry,0,0,0.0,0,0.0,0,0
13,8,trade_banking_services_insurance_transport_and_communications,5,77,39.8,211,84.3,319,16965
14,1,private_households,92,63,16.4,101,131.0,530,28764
15,1,non_profit_organizations,0,0,0.0,0,0.0,0,0
16,0,non_residential_buildings,22,534,361.3,1,0.6,2,685858
17,16,institution_buildings,0,0,0.0,0,0.0,0,0
18,16,office_and_administration_buildings,1,19,35.3,0,0.0,0,16806
19,16,algricultural_buildings,0,0,0.0,0,0.0,0,0
20,16,non_algricultural_buildings,15,370,127.1,1,0.6,2,588463
21,20,factory_and_workshop_buildings,7,55,57.3,0,0.0,0,112776
22,20,commercial_buildings,0,0,0.0,0,0.0,0,0
23,20,warehouse_buildings,2,2,5.0,0,0.0,0,165
24,20,hotels_and_restaurants,1,16,41.9,0,0.0,0,7183
25,16,other_non_residential_buildings,6,146,199.0,0,0.0,0,80589
26,16,selected_infrastructure_buildings,17,497,277.4,0,0.0,0,661445
27,16,public_builders,6,142,192.6,0,0.0,0,77333
28,16,companies,15,388,160.5,1,0.6,2,605225
29,28,housing_companies,1,1,1.8,1,0.6,2,259
30,28,real_estate_funds,1,16,41.9,0,0.0,0,7183
31,28,agriculture_forestry_animal_husbandry_fishing,0,0,0.0,0,0.0,0,0
32,28,manufacturing_industry,3,23,37.4,0,0.0,0,12892
33,28,trade_banking_services_insurance_transport_and_communications,10,349,79.5,0,0.0,0,584891
34,16,private_households,0,0,0.0,0,0.0,0,0
35,16,non_profit_organisations,1,4,8.2,0,0.0,0,3300
