type,measures,usage_area,apartments,living_area,living_rooms,estimated_costs
Wohn- und Nichtwohngebäude,90,"– 19,6",176,135.6,527,60175
Wohngebäude zusammen,82,"– 39,5",159,126.5,488,50771
Wohnheime,–,–,–,–,–,–
Wohngebäude mit Eigentumswohnungen,18,"– 3,2",29,24.2,104,10057
Öffentliche Bauherren,5,"– 0,1",29,14.3,65,11943
Unternehmen,19,"– 29,4",96,69.4,260,23814
Wohnungsunternehmen,17,"– 28,8",95,69,259,23554
Immobilienfonds,1,–,–,"– 0,2",– 1,20
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,–,–,–,–,–,–
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",1,"– 0,7",1,0.7,2,240
Private Haushalte,56,"– 10,1",30,40.2,153,13110
Organisationen ohne Erwerbszweck,2,0.2,4,2.5,10,1904
Nichtwohngebäude,8,19.9,17,9.2,39,9404
Anstaltsgebäude,–,–,–,–,–,–
Büro- und Verwaltungsgebäude,2,15.3,1,2.8,14,684
Landwirtschaftliche Betriebsgebäude,–,–,–,–,–,–
Nichtlandwirtschaftliche Betriebsgebäude,5,7,4,4,13,8512
Fabrik- und Werkstattgebäude,1,"– 1,4",2,1.4,6,900
Handelsgebäude,1,10,–,–,–,7230
Warenlagergebäude,–,–,–,–,–,–
Hotels und Gaststätten,2,"– 0,4",1,1.5,4,345
Sonstige Nichtwohngebäude,1,"– 2,4",12,2.4,12,208
Ausgewählte Infrastrukturgebäude,1,"– 2,4",12,2.4,12,208
Öffentliche Bauherren,–,–,–,–,–,–
Unternehmen,6,20,16,8,36,9203
Wohnungsunternehmen,1,"– 3,0",1,2.8,14,89
Immobilienfonds,2,28.3,–,–,–,7825
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,1,"– 1,4",2,1.4,6,900
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",2,"– 3,8",13,3.8,16,389
Private Haushalte,2,"– 0,1",1,1.1,3,201
Organisationen o. Erwerbszweck,–,–,–,–,–,–
