type,measures,usage_area,apartments,living_area,living_rooms,estimated_costs
Wohn- und Nichtwohngebäude,244,1191,1731,1272.7,5115,641019
Wohngebäude zusammen,212,115.2,1714,1263.5,5076,359973
Wohnheime,–,–,–,–,–,–
Wohngebäude mit Eigentumswohnungen,38,17.9,251,197.4,820,81003
Von den Bauherren waren,31,35.9,342,229,901,63143
Öffentliche Bauherren,76,36.2,1053,765.9,3105,221309
Wohnungsunternehmen,72,27.5,1003,732.8,2969,209835
Immobilienfonds,2,9.3,48,30.4,127,10731
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,–,–,–,–,–,–
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",2,"– 0,7",2,2.7,9,743
Private Haushalte,96,16.9,120,128.7,490,34696
Organisationen ohne Erwerbszweck,9,26.2,199,139.8,580,40825
Nichtwohngebäude,32,1075.8,17,9.2,39,281046
Anstaltsgebäude,1,76.6,–,–,–,17500
Büro- und Verwaltungsgebäude,5,463.7,1,2.8,14,113958
Landwirtschaftliche Betriebsgebäude,1,11.7,–,–,–,347
Nichtlandwirtschaftliche Betriebsgebäude,11,215.5,4,4,13,44816
Fabrik- und Werkstattgebäude,4,133.8,2,1.4,6,25461
Handelsgebäude,1,10,–,–,–,7230
Warenlagergebäude,–,–,–,–,–,–
Hotels und Gaststätten,3,57.3,1,1.5,4,9845
Sonstige Nichtwohngebäude,14,308.4,12,2.4,12,104425
Ausgewählte Infrastrukturgebäude,14,311.5,12,2.4,12,119263
Öffentliche Bauherren,11,307.8,–,–,–,114322
Unternehmen,17,758.3,16,8,36,162963
Wohnungsunternehmen,4,124.4,1,2.8,14,24728
Immobilienfonds,3,366.6,–,–,–,102099
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,3,19.5,2,1.4,6,3530
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",7,247.8,13,3.8,16,32606
Private Haushalte,2,"– 0,1",1,1.1,3,201
Organisationen o. Erwerbszweck,2,9.8,–,–,–,3560
