type,measures,usage_area,apartments,living_area,living_rooms,estimated_costs
Wohn- und Nichtwohngebäude,224,637.2,1210,835,3294,278028
Wohngebäude zusammen,202,320.4,1214,839.4,3320,203265
Wohnheime,2,8,114,26.4,136,12565
Wohngebäude mit Eigentumswohnungen,20,17.5,168,126.1,473,39152
Öffentliche Bauherren,13,32.9,350,235.4,928,44560
Unternehmen,54,218.1,514,347.5,1333,79432
Wohnungsunternehmen,25,215.5,482,311.1,1182,74355
Immobilienfonds,26,3.9,27,33.5,139,4475
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,1,–,–,0.3,1,95
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",2,-1.3,5,2.6,11,507
Private Haushalte,131,55.1,217,212.9,846,59611
Organisationen ohne Erwerbszweck,4,14.4,133,43.8,213,19662
Nichtwohngebäude,22,316.8,– 4,"– 4,4",– 26,74763
Anstaltsgebäude,–,–,–,–,–,–
Büro- und Verwaltungsgebäude,3,78.4,–,–,–,27807
Landwirtschaftliche Betriebsgebäude,–,–,–,–,–,–
Nichtlandwirtschaftliche Betriebsgebäude,5,71,–,–,–,7986
Fabrik- und Werkstattgebäude,2,38.9,–,–,–,2915
Handelsgebäude,2,13.2,–,–,–,1771
Warenlagergebäude,–,–,–,–,–,–
Hotels und Gaststätten,1,18.9,–,–,–,3300
Sonstige Nichtwohngebäude,14,167.4,-4,-4.4,-26,38970
Ausgewählte Infrastrukturgebäude,14,167.4,– 4,"– 4,4",– 26,38970
Öffentliche Bauherren,4,98,-1,-0.7,-4,17405
Unternehmen,10,183.9,–,–,–,50483
Wohnungsunternehmen,–,–,–,–,–,–
Immobilienfonds,–,–,–,–,–,–
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,1,11.4,–,–,–,991
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",9,172.4,–,–,–,49492
Private Haushalte,–,–,–,–,–,–
Organisationen o. Erwerbszweck,8,34.9,-3,-3.8,-22,6875
