type,measures,usage_area,apartments,living_area,living_rooms,estimated_costs
Wohn- und Nichtwohngebäude,90,97.1,54,61.2,223,62638
Wohngebäude zusammen,79,-1.9,58,65.6,249,29479
Wohnheime,–,–,–,–,–,–
Wohngebäude mit Eigentumswohnungen,14,"– 4,1",33,30.1,111,11929
Öffentliche Bauherren,–,–,–,–,–,–
Unternehmen,22,"– 4,3",47,37.3,142,16557
Wohnungsunternehmen,15,-1.6,37,26.5,123,13702
Immobilienfonds,4,-1.4,5,8,7,2253
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,1,–,–,0.3,1,95
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",2,-1.3,5,2.6,11,507
Private Haushalte,56,0.9,11,28.2,107,12897
Organisationen ohne Erwerbszweck,1,1.5,–,–,–,25
Nichtwohngebäude,11,99,-4,-4.4,-26,33159
Anstaltsgebäude,–,–,–,–,–,–
Büro- und Verwaltungsgebäude,3,78.4,–,–,–,27807
Landwirtschaftliche Betriebsgebäude,–,–,–,–,–,–
Nichtlandwirtschaftliche Betriebsgebäude,1,3.8,–,–,–,221
Fabrik- und Werkstattgebäude,–,–,–,–,–,–
Handelsgebäude,1,3.8,–,–,–,221
Warenlagergebäude,–,–,–,–,–,–
Hotels und Gaststätten,–,–,–,–,–,–
Sonstige Nichtwohngebäude,7,16.7,-4,-4.4,-26,5131
Ausgewählte Infrastrukturgebäude,7,16.7,– 4,"– 4,4",– 26,5131
Öffentliche Bauherren,2,4.8,-1,-0.7,-4,318
Unternehmen,5,86.7,–,–,–,31549
Wohnungsunternehmen,–,–,–,–,–,–
Immobilienfonds,–,–,–,–,–,–
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,–,–,–,–,–,–
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",5,86.7,–,–,–,31549
Private Haushalte,–,–,–,–,–,–
Organisationen o. Erwerbszweck,4,7.5,-3,-3.8,-22,1292
