type,measures,usage_area,apartments,living_area,living_rooms,estimated_costs
Wohn- und Nichtwohngebäude,99,61.1,85,88.2,352,148936
Wohngebäude zusammen,86,"– 17,7",114,94.7,381,45470
Wohnheime,–,–,–,–,–,–
Wohngebäude mit Eigentumswohnungen,15,"– 13,7",33,27.3,100,8266
Öffentliche Bauherren,1,–,–,–,10,3957
Unternehmen,30,"– 9,9",91,58.3,245,24659
Wohnungsunternehmen,25,"– 12,4",82,49.9,214,19717
Immobilienfonds,2,–,5,5.7,21,3132
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,1,2.5,–,–,–,1011
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",2,–,4,2.6,10,799
Private Haushalte,54,"– 7,6",23,36.2,124,16746
Organisationen ohne Erwerbszweck,1,"– 0,2",–,0.2,2,108
Nichtwohngebäude,13,78.8,– 29,"– 6,5",– 29,103466
Anstaltsgebäude,3,9.9,–,–,–,3087
Büro- und Verwaltungsgebäude,1,34.4,–,–,–,87822
Landwirtschaftliche Betriebsgebäude,–,–,–,–,–,–
Nichtlandwirtschaftliche Betriebsgebäude,4,20.7,–,–,–,6531
Fabrik- und Werkstattgebäude,1,9.8,–,–,–,3780
Handelsgebäude,2,4.4,–,–,–,2262
Warenlagergebäude,1,6.5,–,–,–,489
Hotels und Gaststätten,–,–,–,–,–,–
Sonstige Nichtwohngebäude,5,13.8,– 29,"– 6,5",– 29,6026
Ausgewählte Infrastrukturgebäude,8,23.7,– 29,"– 6,5",– 29,9113
Öffentliche Bauherren,–,–,–,–,–,–
Unternehmen,8,75.1,–,–,–,98686
Wohnungsunternehmen,–,–,–,–,–,–
Immobilienfonds,2,40.9,–,–,–,88311
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,1,9.8,–,–,–,3780
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",5,24.4,–,–,–,6595
Private Haushalte,1,"– 6,0",–,–,–,2165
Organisationen o. Erwerbszweck,4,9.7,– 29,"– 6,5",– 29,2615
