type,measures,usage_area,apartments,living_area,living_rooms,estimated_costs
Wohn- und Nichtwohngebäude,184,873.7,620,459.3,1759,516676
Wohngebäude zusammen,156,56.7,647,463.3,1780,172138
Wohnheime,–,–,–,–,–,–
Wohngebäude mit Eigentumswohnungen,19,"– 10,9",75,59.8,216,18140
Öffentliche Bauherren,17,25.5,168,91.9,383,35661
Unternehmen,49,16.1,389,271,1012,99568
Wohnungsunternehmen,40,"– 4,0",340,222.2,863,63140
Immobilienfonds,2,–,5,5.7,21,3132
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,1,2.5,–,–,–,1011
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",6,17.5,44,43,128,32285
Private Haushalte,89,15.4,90,100.2,383,36801
Organisationen ohne Erwerbszweck,1,"– 0,2",–,0.2,2,108
Nichtwohngebäude,28,817,– 27,"– 4,0",– 21,344538
Anstaltsgebäude,3,9.9,–,–,–,3087
Büro- und Verwaltungsgebäude,4,360.7,–,–,–,219366
Landwirtschaftliche Betriebsgebäude,–,–,–,–,–,–
Nichtlandwirtschaftliche Betriebsgebäude,12,357.6,1,1.4,3,81127
Fabrik- und Werkstattgebäude,2,127,–,–,–,56616
Handelsgebäude,2,4.4,–,–,–,2262
Warenlagergebäude,1,6.5,–,–,–,489
Hotels und Gaststätten,6,47.3,1,1.4,3,9592
Sonstige Nichtwohngebäude,9,88.7,– 28,"– 5,4",– 24,40958
Ausgewählte Infrastrukturgebäude,13,271,– 28,"– 5,4",– 24,56213
Öffentliche Bauherren,4,244.5,–,–,–,45379
Unternehmen,17,553.1,–,–,–,291058
Wohnungsunternehmen,6,151.8,–,–,–,60828
Immobilienfonds,2,40.9,–,–,–,88311
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,2,23.1,–,–,–,7580
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",7,337.4,–,–,–,134339
Private Haushalte,2,6.8,1,1.4,3,3765
Organisationen o. Erwerbszweck,5,12.5,– 28,"– 5,4",– 24,4336
