type,measures,volume,usage_area,apartments,living_area,living_rooms,estimated_costs
Wohn- und Nichtwohngebäude,85,607,812.6,535,371.1,1407,367740
Wohngebäude zusammen,70,183,74.4,533,368.6,1399,126668
Wohngebäude mit 1 Wohnung,36,27,18.2,36,49.8,199,14723
Wohngebäude mit 2 Wohnungen,7,8,6.7,14,15.7,67,5282
Wohngebäude mit 3 o. m. Wohnungen,27,147,49.5,483,303.1,1133,106663
Wohnheime,–,–,–,–,–,–,–
Wohngebäude mit Eigentumswohnungen,4,15,2.8,42,32.5,116,9874
Öffentliche Bauherren,16,47,25.5,168,91.9,373,31704
Unternehmen,19,101,26,298,212.7,767,74909
Wohnungsunternehmen,15,76,8.5,258,172.3,649,43423
Immobilienfonds,–,–,–,–,–,–,–
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–,–
Produzierendes Gewerbe,–,–,–,–,–,–,–
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",4,25,17.5,40,40.4,118,31486
Private Haushalte,35,35,23,67,64,259,20055
Organisationen ohne Erwerbszweck,–,–,–,–,–,–,–
Nichtwohngebäude,15,424,738.1,2,2.5,8,241072
Anstaltsgebäude,–,–,–,–,–,–,–
Büro- und Verwaltungsgebäude,3,182,326.3,–,–,–,131544
Landwirtschaftliche Betriebsgebäude,–,–,–,–,–,–,–
Nichtlandwirtschaftliche Betriebsgebäude,8,179,336.9,1,1.4,3,74596
Fabrik- und Werkstattgebäude,1,101,117.2,–,–,–,52836
Handelsgebäude,–,–,–,–,–,–,–
Warenlagergebäude,–,–,–,–,–,–,–
Hotels und Gaststätten,6,17,47.3,1,1.4,3,9592
Sonstige Nichtwohngebäude,4,63,74.9,1,1.1,5,34932
Ausgewählte Infrastrukturgebäude,5,124,247.3,1,1.1,5,47100
Öffentliche Bauherren,4,122,244.5,–,–,–,45379
Unternehmen,9,295,478.1,–,–,–,192372
Wohnungsunternehmen,6,113,151.8,–,–,–,60828
Immobilienfonds,–,–,–,–,–,–,–
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–,–
Produzierendes Gewerbe,1,6,13.3,–,–,–,3800
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",2,176,313,–,–,–,127744
Private Haushalte,1,6,12.8,1,1.4,3,1600
Organisationen o. Erwerbszweck,1,2,2.8,1,1.1,5,1721
