type,measures,usage_area,apartments,living_area,living_rooms,estimated_costs
Wohn- und Nichtwohngebäude,84,-50.2,197,129,426,53587
Wohngebäude zusammen,79,-47,198,129.8,430,46312
Wohnheime,2,-17.1,65,17.1,67,249
Wohngebäude mit Eigentumswohnungen,13,"– 16,1",23,28.7,88,17194
Öffentliche Bauherren,1,"– 0,9",1,0.9,4,11
Unternehmen,20,-34.3,169,87,269,27759
Wohnungsunternehmen,15,-30.9,161,72.3,240,23809
Immobilienfonds,2,–,7,8.5,27,2892
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,–,–,–,–,–,–
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",3,"– 3,4",1,6.3,2,1058
Private Haushalte,58,"– 11,8",28,41.9,157,18542
Organisationen ohne Erwerbszweck,–,–,–,–,–,–
Nichtwohngebäude,5,"– 3,2",– 1,"– 0,8",– 4,7275
Anstaltsgebäude,–,–,–,–,–,–
Büro- und Verwaltungsgebäude,4,"– 4,2",-1,-0.8,-4,5784
Landwirtschaftliche Betriebsgebäude,–,–,–,–,–,–
Nichtlandwirtschaftliche Betriebsgebäude,1,1.1,–,–,–,1491
Fabrik- und Werkstattgebäude,–,–,–,–,–,–
Handelsgebäude,1,1.1,–,–,–,1491
Warenlagergebäude,–,–,–,–,–,–
Hotels und Gaststätten,–,–,–,–,–,–
Sonstige Nichtwohngebäude,–,–,–,–,–,–
Ausgewählte Infrastrukturgebäude,–,–,–,–,–,–
Öffentliche Bauherren,1,1.3,-1,-1.3,-6,135
Unternehmen,4,"– 4,4",–,0.5,2,7140
Wohnungsunternehmen,–,–,–,–,–,–
Immobilienfonds,–,–,–,–,–,–
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,1,2.9,–,–,–,839
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",3,-7.4,–,0.5,2,6301
Private Haushalte,–,–,–,–,–,–
Organisationen o. Erwerbszweck,–,–,–,–,–,–
