type,measures,volume,usage_area,apartments,living_area,living_rooms,estimated_costs
Wohn- und Nichtwohngebäude,161,906,1078.1,1656,750.4,3025,491709
Wohngebäude zusammen,138,375,125.6,1629,734.8,2961,208337
Wohngebäude mit 1 Wohnung,88,78,28.6,88,139.1,518,41735
Wohngebäude mit 2 Wohnungen,11,14,6.2,22,26.6,82,5793
Wohngebäude mit 3 o. m. Wohnungen,38,280,89.8,1507,562.9,2337,159804
Wohnheime,1,3,1.1,12,6.2,24,1005
Wohngebäude mit Eigentumswohnungen,7,43,28,120,96.1,343,12618
Öffentliche Bauherren,3,17,15.6,37,27.3,95,5826
Unternehmen,48,275,75.5,1416,554.4,2277,165829
Wohnungsunternehmen,35,199,26.1,1212,418.1,1733,124532
Immobilienfonds,–,–,–,–,–,–,–
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–,–
Produzierendes Gewerbe,2,14,22.5,45,34.9,127,3560
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",11,63,26.9,159,101.4,417,37737
Private Haushalte,84,80,32.4,166,148,565,35208
Organisationen ohne Erwerbszweck,3,3,2.2,10,5.2,24,1474
Nichtwohngebäude,23,531,952.5,27,15.5,64,283372
Anstaltsgebäude,–,–,–,–,–,–,–
Büro- und Verwaltungsgebäude,11,298,608.1,5,7,13,184096
Landwirtschaftliche Betriebsgebäude,–,–,–,–,–,–,–
Nichtlandwirtschaftliche Betriebsgebäude,6,57,112.4,22,8.5,51,14774
Fabrik- und Werkstattgebäude,1,0,0.7,–,–,–,65
Handelsgebäude,–,–,–,–,–,–,–
Warenlagergebäude,2,32,81.8,–,–,–,4872
Hotels und Gaststätten,1,9,20.4,–,–,–,5377
Sonstige Nichtwohngebäude,6,175,232,–,–,–,84502
Ausgewählte Infrastrukturgebäude,6,175,232,–,–,–,84502
Öffentliche Bauherren,4,174,228.9,–,–,–,83557
Unternehmen,16,352,715.6,27,15.5,64,196806
Wohnungsunternehmen,4,147,310.4,22,8.5,51,87281
Immobilienfonds,2,53,101.5,–,–,–,29696
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–,–
Produzierendes Gewerbe,–,–,–,–,–,–,–
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",10,152,303.8,5,7,13,79829
Private Haushalte,1,0,1.2,–,–,–,140
Organisationen o. Erwerbszweck,2,4,6.8,–,–,–,2869
