type,measures,usage_area,apartments,living_area,living_rooms,estimated_costs
Wohn- und Nichtwohngebäude,245,1028,1853,879.4,3451,545296
Wohngebäude zusammen,217,78.6,1827,864.7,3391,254649
Wohnheime,3,-16,77,23.3,91,1254
Wohngebäude mit Eigentumswohnungen,20,11.8,143,124.8,431,29812
Öffentliche Bauherren,4,14.7,38,28.2,99,5837
Unternehmen,68,41.2,1585,641.4,2546,193588
Wohnungsunternehmen,50,"– 4,8",1373,490.4,1973,148341
Immobilienfonds,2,–,7,8.5,27,2892
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,2,22.5,45,34.9,127,3560
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",14,23.4,160,107.7,419,38795
Private Haushalte,142,20.6,194,189.9,722,53750
Organisationen ohne Erwerbszweck,3,2.2,10,5.2,24,1474
Nichtwohngebäude,28,949.3,26,14.7,60,290647
Anstaltsgebäude,–,–,–,–,–,–
Büro- und Verwaltungsgebäude,15,603.8,4,6.2,9,189880
Landwirtschaftliche Betriebsgebäude,–,–,–,–,–,–
Nichtlandwirtschaftliche Betriebsgebäude,7,113.5,22,8.5,51,16265
Fabrik- und Werkstattgebäude,1,0.7,–,–,–,65
Handelsgebäude,1,1.1,–,–,–,1491
Warenlagergebäude,2,81.8,–,–,–,4872
Hotels und Gaststätten,1,20.4,–,–,–,5377
Sonstige Nichtwohngebäude,6,232,–,–,–,84502
Ausgewählte Infrastrukturgebäude,6,232,–,–,–,84502
Öffentliche Bauherren,5,230.1,– 1,"– 1,3",– 6,83692
Unternehmen,20,711.2,27,16,66,203946
Wohnungsunternehmen,4,310.4,22,8.5,51,87281
Immobilienfonds,2,101.5,–,–,–,29696
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,1,2.9,–,–,–,839
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",13,296.4,5,7.5,15,86130
Private Haushalte,1,1.2,–,–,–,140
Organisationen o. Erwerbszweck,2,6.8,–,–,–,2869
