type,measures,usage_area,apartments,living_area,living_rooms,estimated_costs
Wohn- und Nichtwohngebäude,100,"– 14,1",147,143.9,486,67285
Wohngebäude zusammen,89,"– 50,5",146,141.2,476,37081
Wohnheime,1,"– 26,3",45,26.3,45,216
Wohngebäude mit Eigentumswohnungen,22,"– 5,0",51,43,179,12499
Öffentliche Bauherren,1,"– 0,7",1,0.7,2,6
Unternehmen,38,"– 23,7",77,80.3,311,24700
Wohnungsunternehmen,31,"– 6,3",61,60,246,21739
Immobilienfonds,1,–,1,1.1,4,300
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,–,–,–,–,–,–
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",6,"– 17,4",15,19.2,61,2661
Private Haushalte,49,0.3,23,33.9,118,12159
Organisationen ohne Erwerbszweck,1,"– 26,3",45,26.3,45,216
Nichtwohngebäude,11,36.4,1,2.8,10,30204
Anstaltsgebäude,–,–,–,–,–,–
Büro- und Verwaltungsgebäude,3,21.3,1,2.2,8,27794
Landwirtschaftliche Betriebsgebäude,–,–,–,–,–,–
Nichtlandwirtschaftliche Betriebsgebäude,5,13,–,–,–,2097
Fabrik- und Werkstattgebäude,2,0.6,–,–,–,928
Handelsgebäude,2,15.4,–,–,–,299
Warenlagergebäude,1,"– 3,0",–,–,–,870
Hotels und Gaststätten,–,–,–,–,–,–
Sonstige Nichtwohngebäude,3,2.1,–,0.6,2,313
Ausgewählte Infrastrukturgebäude,3,2.1,–,0.6,2,313
Öffentliche Bauherren,3,15.7,– 1,"– 0,6",– 2,21061
Unternehmen,6,22.8,–,–,–,8630
Wohnungsunternehmen,–,–,–,–,–,–
Immobilienfonds,1,3.4,–,–,–,298
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,1,2.4,–,–,–,428
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",4,17.1,–,–,–,7904
Private Haushalte,1,"– 2,2",1,2.2,8,214
Organisationen o. Erwerbszweck,1,–,1,1.2,4,299
