type,measures,volume,usage_area,apartments,living_area,living_rooms,estimated_costs
Wohn- und Nichtwohngebäude,129,684,697.6,933,646.1,2426,411741
Wohngebäude zusammen,109,311,62.6,927,640.9,2410,174796
Wohngebäude mit 1 Wohnung,58,46,20.2,58,87.7,316,23687
Wohngebäude mit 2 Wohnungen,6,5,3.6,12,12.2,43,2699
Wohngebäude mit 3 o. m. Wohnungen,44,257,38.7,851,536.7,2025,146945
Wohnheime,1,2,–,6,4.3,26,1465
Wohngebäude mit Eigentumswohnungen,13,83,26.9,264,170.4,599,42840
Öffentliche Bauherren,1,13,3.6,48,27.7,114,6535
Unternehmen,52,242,36.6,754,502.6,1851,141051
Wohnungsunternehmen,37,205,28.2,646,423.8,1561,120713
Immobilienfonds,2,5,–,15,11,51,3260
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–,–
Produzierendes Gewerbe,8,6,2.8,8,13.2,40,3337
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",5,26,5.6,85,54.6,199,13741
Private Haushalte,55,48,21.2,75,92.4,339,24644
Organisationen ohne Erwerbszweck,1,8,1.2,50,18.3,106,2566
Nichtwohngebäude,20,373,635.1,6,5.2,16,236945
Anstaltsgebäude,–,–,–,–,–,–,–
Büro- und Verwaltungsgebäude,5,184,341.6,6,5.2,16,157453
Landwirtschaftliche Betriebsgebäude,–,–,–,–,–,–,–
Nichtlandwirtschaftliche Betriebsgebäude,8,118,200.4,–,–,–,43889
Fabrik- und Werkstattgebäude,–,–,–,–,–,–,–
Handelsgebäude,1,1,1.5,–,–,–,555
Warenlagergebäude,1,14,19.7,–,–,–,3575
Hotels und Gaststätten,5,96,169.8,–,–,–,38365
Sonstige Nichtwohngebäude,7,71,93,–,–,–,35603
Ausgewählte Infrastrukturgebäude,6,68,88.2,–,–,–,32498
Öffentliche Bauherren,3,106,129.8,–,–,–,91457
Unternehmen,11,212,385.4,–,–,–,118193
Wohnungsunternehmen,1,7,9.5,–,–,–,1394
Immobilienfonds,–,–,–,–,–,–,–
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–,–
Produzierendes Gewerbe,–,–,–,–,–,–,–
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",10,206,375.9,–,–,–,116799
Private Haushalte,1,24,61.4,–,–,–,13401
Organisationen o. Erwerbszweck,5,30,58.6,6,5.2,16,13894
