type,measures,usage_area,apartments,living_area,living_rooms,estimated_costs
Wohn- und Nichtwohngebäude,229,683.5,1080,790.1,2912,479026
Wohngebäude zusammen,198,12.1,1073,782.1,2886,211877
Wohnheime,2,"– 26,3",51,30.6,71,1681
Wohngebäude mit Eigentumswohnungen,35,22,315,213.4,778,55339
Öffentliche Bauherren,2,2.9,49,28.4,116,6541
Unternehmen,90,12.9,831,582.9,2162,165751
Wohnungsunternehmen,68,21.9,707,483.7,1807,142452
Immobilienfonds,3,–,16,12.1,55,3560
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,8,2.8,8,13.2,40,3337
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",11,"– 11,9",100,73.9,260,16402
Private Haushalte,104,21.5,98,126.3,457,36803
Organisationen ohne Erwerbszweck,2,"– 25,1",95,44.6,151,2782
Nichtwohngebäude,31,671.4,7,8,26,267149
Anstaltsgebäude,–,–,–,–,–,–
Büro- und Verwaltungsgebäude,8,362.9,7,7.4,24,185247
Landwirtschaftliche Betriebsgebäude,–,–,–,–,–,–
Nichtlandwirtschaftliche Betriebsgebäude,13,213.5,–,–,–,45986
Fabrik- und Werkstattgebäude,2,0.6,–,–,–,928
Handelsgebäude,3,16.9,–,–,–,854
Warenlagergebäude,2,16.7,–,–,–,4445
Hotels und Gaststätten,5,169.8,–,–,–,38365
Sonstige Nichtwohngebäude,10,95.1,–,0.6,2,35916
Ausgewählte Infrastrukturgebäude,9,90.3,–,0.6,2,32811
Öffentliche Bauherren,6,145.5,– 1,"– 0,6",– 2,112518
Unternehmen,17,408.2,–,–,–,126823
Wohnungsunternehmen,1,9.5,–,–,–,1394
Immobilienfonds,1,3.4,–,–,–,298
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,1,2.4,–,–,–,428
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",14,393,–,–,–,124703
Private Haushalte,2,59.2,1,2.2,8,13615
Organisationen o. Erwerbszweck,6,58.6,7,6.4,20,14193
