type,measures,usage_area,apartments,living_area,living_rooms,estimated_costs
Wohn- und Nichtwohngebäude,165,312.9,1449,733.4,2931,282595
Wohngebäude zusammen,148,60.2,1438,728.1,2902,192040
Wohnheime,–,–,–,–,–,–
Wohngebäude mit Eigentumswohnungen,27,0.1,733,230.7,1047,76147
Öffentliche Bauherren,3,13.8,173,115.8,436,13962
Unternehmen,67,36.4,1052,476,1925,147282
Wohnungsunternehmen,38,27,283,215.2,740,56497
Immobilienfonds,15,"– 6,0",32,25.5,89,7745
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,–,–,–,–,–,–
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",14,15.4,737,235.3,1096,83040
Private Haushalte,78,10.1,213,136.3,541,30796
Organisationen ohne Erwerbszweck,–,–,–,–,–,–
Nichtwohngebäude,17,252.6,11,5.3,29,90555
Anstaltsgebäude,–,–,–,–,–,–
Büro- und Verwaltungsgebäude,5,122.9,11,5.3,29,27725
Landwirtschaftliche Betriebsgebäude,–,–,–,–,–,–
Nichtlandwirtschaftliche Betriebsgebäude,8,63.1,–,–,–,17565
Fabrik- und Werkstattgebäude,3,44.4,–,–,–,8144
Handelsgebäude,3,11.6,–,–,–,9298
Warenlagergebäude,2,7.1,–,–,–,123
Hotels und Gaststätten,–,–,–,–,–,–
Sonstige Nichtwohngebäude,4,66.6,–,–,–,45265
Ausgewählte Infrastrukturgebäude,5,90,–,–,–,49109
Öffentliche Bauherren,4,97,–,–,–,38553
Unternehmen,11,142.3,11,5.3,29,37809
Wohnungsunternehmen,2,8,11,5.3,29,2198
Immobilienfonds,2,54.5,–,–,–,10599
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,2,21,–,–,–,4300
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",5,58.7,–,–,–,20712
Private Haushalte,–,–,–,–,–,–
Organisationen o. Erwerbszweck,2,13.3,–,–,–,14193
