type,measures,volume,usage_area,apartments,living_area,living_rooms,estimated_costs
Wohn- und Nichtwohngebäude,95,450,242.3,1353,651.2,2681,228819
Wohngebäude zusammen,84,313,69.3,1342,645.9,2652,161361
Wohngebäude mit 1 Wohnung,53,34,11.3,53,71.2,285,17878
Wohngebäude mit 2 Wohnungen,3,6,0.8,6,8.5,51,5804
Wohngebäude mit 3 o. m. Wohnungen,28,274,57.1,1283,566.3,2316,137679
Wohnheime,–,–,–,–,–,–,–
Wohngebäude mit Eigentumswohnungen,11,103,7.6,713,206.9,980,65291
Öffentliche Bauherren,3,50,13.8,173,115.8,436,13962
Unternehmen,38,207,39.4,969,415.3,1731,125834
Wohnungsunternehmen,27,83,28.4,265,195.6,694,46881
Immobilienfonds,–,–,–,–,–,–,–
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–,–
Produzierendes Gewerbe,–,–,–,–,–,–,–
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",11,124,11,704,219.7,1037,78953
Private Haushalte,43,57,16,200,114.8,485,21565
Organisationen ohne Erwerbszweck,–,–,–,–,–,–,–
Nichtwohngebäude,11,137,173,11,5.3,29,67458
Anstaltsgebäude,–,–,–,–,–,–,–
Büro- und Verwaltungsgebäude,4,46,61.4,11,5.3,29,27682
Landwirtschaftliche Betriebsgebäude,–,–,–,–,–,–,–
Nichtlandwirtschaftliche Betriebsgebäude,4,30,38,–,–,–,5067
Fabrik- und Werkstattgebäude,2,27,30.9,–,–,–,4944
Handelsgebäude,–,–,–,–,–,–,–
Warenlagergebäude,2,3,7.1,–,–,–,123
Hotels und Gaststätten,–,–,–,–,–,–,–
Sonstige Nichtwohngebäude,3,61,73.7,–,–,–,34709
Ausgewählte Infrastrukturgebäude,4,79,97,–,–,–,38553
Öffentliche Bauherren,4,79,97,–,–,–,38553
Unternehmen,5,38,62.7,11,5.3,29,14712
Wohnungsunternehmen,2,5,8,11,5.3,29,2198
Immobilienfonds,–,–,–,–,–,–,–
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–,–
Produzierendes Gewerbe,1,9,7.6,–,–,–,1100
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",2,24,47.1,–,–,–,11414
Private Haushalte,–,–,–,–,–,–,–
Organisationen o. Erwerbszweck,2,19,13.3,–,–,–,14193
