type,measures,usage_area,apartments,living_area,living_rooms,estimated_costs
Wohn- und Nichtwohngebäude,70,70.6,96,82.2,250,53776
Wohngebäude zusammen,64,"– 9,0",96,82.2,250,30679
Wohnheime,–,–,–,–,–,–
Wohngebäude mit Eigentumswohnungen,16,"– 7,5",20,23.8,67,10856
Öffentliche Bauherren,–,–,–,–,–,–
Unternehmen,29,"– 3,0",83,60.7,194,21448
Wohnungsunternehmen,11,"– 1,4",18,19.6,46,9616
Immobilienfonds,15,"– 6,0",32,25.5,89,7745
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,–,–,–,–,–,–
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",3,4.4,33,15.6,59,4087
Private Haushalte,35,"– 6,0",13,21.6,56,9231
Organisationen ohne Erwerbszweck,–,–,–,–,–,–
Nichtwohngebäude,6,79.6,–,–,–,23097
Anstaltsgebäude,–,–,–,–,–,–
Büro- und Verwaltungsgebäude,1,61.5,–,–,–,43
Landwirtschaftliche Betriebsgebäude,–,–,–,–,–,–
Nichtlandwirtschaftliche Betriebsgebäude,4,25.1,–,–,–,12498
Fabrik- und Werkstattgebäude,1,13.5,–,–,–,3200
Handelsgebäude,3,11.6,–,–,–,9298
Warenlagergebäude,–,–,–,–,–,–
Hotels und Gaststätten,–,–,–,–,–,–
Sonstige Nichtwohngebäude,1,"– 7,0",–,–,–,10556
Ausgewählte Infrastrukturgebäude,1,"– 7,0",–,–,–,10556
Öffentliche Bauherren,–,–,–,–,–,–
Unternehmen,6,79.6,–,–,–,23097
Wohnungsunternehmen,–,–,–,–,–,–
Immobilienfonds,2,54.5,–,–,–,10599
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,1,13.5,–,–,–,3200
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",3,11.6,–,–,–,9298
Private Haushalte,–,–,–,–,–,–
Organisationen o. Erwerbszweck,–,–,–,–,–,–
