type,measures,usage_area,apartments,living_area,living_rooms,estimated_costs
Wohn- und Nichtwohngebäude,128,555.9,645,371.5,1177,337071
Wohngebäude zusammen,101,26.9,640,366.7,1156,106553
Wohnheime,3,"– 22,5",90,30.2,90,1600
Wohngebäude mit Eigentumswohnungen,26,30.5,312,186.4,692,45966
Öffentliche Bauherren,1,1.2,–,"– 1,6",– 196,24005
Unternehmen,35,8.4,576,269.2,1018,56717
Wohnungsunternehmen,10,"– 9,3",98,67.7,249,20361
Immobilienfonds,5,12.4,56,39.2,160,10391
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,9,20.3,85,62.8,239,12335
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",11,"– 14,9",337,99.6,370,13630
Private Haushalte,64,17.3,62,98.4,331,25648
Organisationen ohne Erwerbszweck,1,–,2,0.6,3,183
Nichtwohngebäude,27,529,5,4.9,21,230518
Anstaltsgebäude,2,6.8,–,–,–,1946
Büro- und Verwaltungsgebäude,6,85.2,–,–,–,38706
Landwirtschaftliche Betriebsgebäude,–,–,–,–,–,–
Nichtlandwirtschaftliche Betriebsgebäude,12,260.2,1,1.4,3,113002
Fabrik- und Werkstattgebäude,6,92.4,1,1.4,3,42191
Handelsgebäude,3,146.7,–,–,–,14785
Warenlagergebäude,1,0.9,–,–,–,32
Hotels und Gaststätten,–,–,–,–,–,–
Sonstige Nichtwohngebäude,7,176.9,4,3.5,18,76864
Ausgewählte Infrastrukturgebäude,13,231.7,4,3.5,18,143057
Öffentliche Bauherren,11,253.6,–,–,–,113749
Unternehmen,13,271.7,4,3.3,17,113913
Wohnungsunternehmen,1,13,–,–,–,5117
Immobilienfonds,1,3,–,–,–,12494
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,3,70.5,–,–,–,25011
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",8,185.2,4,3.3,17,71291
Private Haushalte,1,"– 1,4",1,1.4,3,18
Organisationen o. Erwerbszweck,2,5.1,–,0.1,1,2838
