type,measures,usage_area,apartments,living_area,living_rooms,estimated_costs
Wohn- und Nichtwohngebäude,47,"– 14,8",161,95,107,58988
Wohngebäude zusammen,39,"– 52,1",156,90.1,86,42889
Wohnheime,2,"– 23,0",60,26.2,60,719
Wohngebäude mit Eigentumswohnungen,9,"– 17,9",35,27.4,89,7410
Öffentliche Bauherren,1,1.2,–,"– 1,6",– 196,24005
Unternehmen,13,"– 54,4",148,71.9,229,12650
Wohnungsunternehmen,6,"– 15,9",27,20.5,74,7000
Immobilienfonds,2,"– 0,9",19,8.5,45,3052
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,–,–,–,–,–,–
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",5,"– 37,6",102,42.9,110,2598
Private Haushalte,24,1,6,19.2,50,6051
Organisationen ohne Erwerbszweck,1,–,2,0.6,3,183
Nichtwohngebäude,8,37.3,5,4.9,21,16099
Anstaltsgebäude,1,4.7,–,–,–,74
Büro- und Verwaltungsgebäude,3,31,–,–,–,14613
Landwirtschaftliche Betriebsgebäude,–,–,–,–,–,–
Nichtlandwirtschaftliche Betriebsgebäude,2,5,1,1.4,3,328
Fabrik- und Werkstattgebäude,2,5,1,1.4,3,328
Handelsgebäude,–,–,–,–,–,–
Warenlagergebäude,–,–,–,–,–,–
Hotels und Gaststätten,–,–,–,–,–,–
Sonstige Nichtwohngebäude,2,"– 3,3",4,3.5,18,1084
Ausgewählte Infrastrukturgebäude,3,1.3,4,3.5,18,1158
Öffentliche Bauherren,2,28.5,–,–,–,1765
Unternehmen,4,10.3,4,3.3,17,13278
Wohnungsunternehmen,–,–,–,–,–,–
Immobilienfonds,1,3,–,–,–,12494
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,1,6.4,–,–,–,310
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",2,0.9,4,3.3,17,474
Private Haushalte,1,"– 1,4",1,1.4,3,18
Organisationen o. Erwerbszweck,1,–,–,0.1,1,1038
