type,measures,volume,usage_area,apartments,living_area,living_rooms,estimated_costs
Wohn- und Nichtwohngebäude,81,478,570.7,484,276.6,1070,278083
Wohngebäude zusammen,62,144,79,484,276.6,1070,63664
Wohngebäude mit 1 Wohnung,33,26,10.2,33,52.5,205,12442
Wohngebäude mit 2 Wohnungen,4,4,0.5,8,8.2,32,2085
Wohngebäude mit 3 o. m. Wohnungen,24,113,67.9,413,211.9,803,48256
Wohnheime,1,1,0.5,30,4,30,881
Wohngebäude mit Eigentumswohnungen,17,82,48.4,277,159,603,38556
Öffentliche Bauherren,–,–,–,–,–,–,–
Unternehmen,22,103,62.8,428,197.4,789,44067
Wohnungsunternehmen,4,21,6.6,71,47.2,175,13361
Immobilienfonds,3,16,13.3,37,30.7,115,7339
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–,–
Produzierendes Gewerbe,9,35,20.3,85,62.8,239,12335
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",6,31,22.6,235,56.7,260,11032
Private Haushalte,40,41,16.2,56,79.2,281,19597
Organisationen ohne Erwerbszweck,–,–,–,–,–,–,–
Nichtwohngebäude,19,334,491.7,–,–,–,214419
Anstaltsgebäude,1,2,2.1,–,–,–,1872
Büro- und Verwaltungsgebäude,3,29,54.2,–,–,–,24093
Landwirtschaftliche Betriebsgebäude,–,–,–,–,–,–,–
Nichtlandwirtschaftliche Betriebsgebäude,10,197,255.2,–,–,–,112674
Fabrik- und Werkstattgebäude,4,74,87.4,–,–,–,41863
Handelsgebäude,3,110,146.7,–,–,–,14785
Warenlagergebäude,1,0,0.9,–,–,–,32
Hotels und Gaststätten,–,–,–,–,–,–,–
Sonstige Nichtwohngebäude,5,107,180.2,–,–,–,75780
Ausgewählte Infrastrukturgebäude,10,140,230.4,–,–,–,141899
Öffentliche Bauherren,9,148,225.2,–,–,–,111984
Unternehmen,9,184,261.4,–,–,–,100635
Wohnungsunternehmen,1,7,13,–,–,–,5117
Immobilienfonds,–,–,–,–,–,–,–
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–,–
Produzierendes Gewerbe,2,37,64.1,–,–,–,24701
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",6,141,184.3,–,–,–,70817
Private Haushalte,–,–,–,–,–,–,–
Organisationen o. Erwerbszweck,1,2,5.1,–,–,–,1800
