type,measures,volume,usage_area,apartments,living_area,living_rooms,estimated_costs
Wohn- und Nichtwohngebäude,169,1209,981.2,2670,1406.1,5878,463758
Wohngebäude zusammen,147,779,274.6,2277,1325.2,5449,305351
Wohngebäude mit 1 Wohnung,58,49,23.3,58,88.4,320,21947
Wohngebäude mit 2 Wohnungen,8,9,5,16,16.9,70,3257
Wohngebäude mit 3 o. m. Wohnungen,80,718,246.3,2187,1209.8,5027,279927
Wohnheime,1,3,–,16,10.1,32,220
Wohngebäude mit Eigentumswohnungen,27,178,52.2,456,353.3,1281,75704
Öffentliche Bauherren,30,233,62.3,807,449.8,1963,108889
Unternehmen,50,341,121.8,1154,643,2547,142317
Wohnungsunternehmen,36,253,98,890,474,1904,109495
Immobilienfonds,–,–,–,–,–,–,–
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–,–
Produzierendes Gewerbe,5,20,4.7,41,39.6,202,8112
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",9,68,19.1,223,129.4,441,24710
Private Haushalte,58,56,25,91,104,389,24317
Organisationen ohne Erwerbszweck,9,149,65.6,225,128.3,550,29828
Nichtwohngebäude,22,430,706.5,393,81,429,158407
Anstaltsgebäude,–,–,–,–,–,–,–
Büro- und Verwaltungsgebäude,2,116,122.5,375,73.7,403,65457
Landwirtschaftliche Betriebsgebäude,–,–,–,–,–,–,–
Nichtlandwirtschaftliche Betriebsgebäude,12,142,364.2,–,–,–,30183
Fabrik- und Werkstattgebäude,1,15,28.2,–,–,–,4022
Handelsgebäude,2,28,47.4,–,–,–,4931
Warenlagergebäude,4,29,80.2,–,–,–,4349
Hotels und Gaststätten,–,–,–,–,–,–,–
Sonstige Nichtwohngebäude,8,172,219.8,18,7.3,26,62767
Ausgewählte Infrastrukturgebäude,9,173,221.6,18,7.3,26,63771
Öffentliche Bauherren,9,328,497.8,393,81,429,131377
Unternehmen,10,96,193.6,–,–,–,25081
Wohnungsunternehmen,1,8,7.9,–,–,–,3553
Immobilienfonds,–,–,–,–,–,–,–
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–,–
Produzierendes Gewerbe,3,17,31.5,–,–,–,4433
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",6,72,154.1,–,–,–,17095
Private Haushalte,1,1,2.6,–,–,–,190
Organisationen o. Erwerbszweck,2,5,12.6,–,–,–,1759
