type,measures,usage_area,apartments,living_area,living_rooms,estimated_costs
Wohn- und Nichtwohngebäude,242,988,2750,1487.3,6152,559726
Wohngebäude zusammen,211,276.6,2353,1402.2,5707,337376
Wohnheime,1,–,16,10.1,32,220
Wohngebäude mit Eigentumswohnungen,40,52.1,470,374.6,1348,81336
Öffentliche Bauherren,30,62.3,807,449.8,1963,108889
Unternehmen,66,120.6,1183,673.5,2645,153860
Wohnungsunternehmen,45,97,905,495.3,1969,115816
Immobilienfonds,4,1.6,12,7,25,4401
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,5,4.7,41,39.6,202,8112
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",12,17.3,225,131.7,449,25531
Private Haushalte,104,27.8,112,129.7,472,34895
Organisationen ohne Erwerbszweck,11,66,251,149.1,627,39732
Nichtwohngebäude,31,711.4,397,85.2,445,222350
Anstaltsgebäude,–,–,–,–,–,–
Büro- und Verwaltungsgebäude,6,114.6,376,75,409,125085
Landwirtschaftliche Betriebsgebäude,–,–,–,–,–,–
Nichtlandwirtschaftliche Betriebsgebäude,14,375,3,2.9,10,31327
Fabrik- und Werkstattgebäude,1,28.2,–,–,–,4022
Handelsgebäude,2,47.4,–,–,–,4931
Warenlagergebäude,5,87.1,–,–,–,4469
Hotels und Gaststätten,1,3.8,3,2.9,10,1024
Sonstige Nichtwohngebäude,11,221.8,18,7.3,26,65938
Ausgewählte Infrastrukturgebäude,11,222.3,18,7.3,26,66762
Öffentliche Bauherren,11,498.5,393,81,429,134368
Unternehmen,16,199,3,2.9,10,85810
Wohnungsunternehmen,2,11.8,3,2.9,10,4577
Immobilienfonds,–,–,–,–,–,–
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,3,31.5,–,–,–,4433
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",11,155.7,–,–,–,76800
Private Haushalte,1,2.6,–,–,–,190
Organisationen o. Erwerbszweck,3,11.4,1,1.3,6,1982
