type,measures,usage_area,apartments,living_area,living_rooms,estimated_costs
Wohn- und Nichtwohngebäude,115,57.5,139,108.3,436,63513
Wohngebäude zusammen,102,"– 25,5",133,100.2,413,39964
Wohnheime,–,–,–,–,–,–
Wohngebäude mit Eigentumswohnungen,22,"– 16,9",43,32.5,98,11933
Öffentliche Bauherren,1,–,– 8,–,2,1145
Unternehmen,48,"– 24,4",113,72.9,306,24611
Wohnungsunternehmen,43,"– 24,0",109,72.2,294,23520
Immobilienfonds,2,0.1,– 1,"– 0,1",– 3,199
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,–,–,–,–,–,–
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",3,"– 0,6",5,0.8,15,892
Private Haushalte,52,"– 1,1",28,26.7,107,14000
Organisationen ohne Erwerbszweck,1,–,–,0.6,– 2,208
Nichtwohngebäude,13,83,6,8.2,23,23549
Anstaltsgebäude,1,–,–,–,2,15
Büro- und Verwaltungsgebäude,1,20,–,–,–,4000
Landwirtschaftliche Betriebsgebäude,–,–,–,–,–,–
Nichtlandwirtschaftliche Betriebsgebäude,5,13.3,4,–,2,11240
Fabrik- und Werkstattgebäude,2,10.8,–,–,–,3434
Handelsgebäude,2,2.5,–,–,–,6360
Warenlagergebäude,–,–,–,–,–,–
Hotels und Gaststätten,1,–,4,–,2,1446
Sonstige Nichtwohngebäude,6,49.7,2,8.2,19,8294
Ausgewählte Infrastrukturgebäude,7,49.7,2,8.2,21,8309
Öffentliche Bauherren,4,7,–,–,–,5080
Unternehmen,7,74.5,4,–,4,18352
Wohnungsunternehmen,–,–,–,–,–,–
Immobilienfonds,2,43.8,–,–,–,9457
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,1,4,–,–,–,1734
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",4,26.8,4,–,4,7161
Private Haushalte,1,1.4,–,–,–,64
Organisationen o. Erwerbszweck,1,0,2,8.2,19,53
