type,measures,volume,usage_area,apartments,living_area,living_rooms,estimated_costs
Wohn– und Nichtwohngebäude,106,745,1006.3,735,535,2105,359359
Wohngebäude zusammen,89,267,84.1,735,535,2105,152242
Wohngebäude mit 1 Wohnung,51,38,13.3,51,75.9,292,20712
Wohngebäude mit 2 Wohnungen,5,6,2,10,12.3,41,3565
Wohngebäude mit 3 o. m. Wohnungen,33,223,68.8,674,446.9,1772,127965
Wohnheime,–,–,–,–,–,–,–
Wohngebäude mit Eigentumswohnungen,15,106,33,293,205.4,793,57463
Öffentliche Bauherren,3,15,5,31,25.3,103,13737
Unternehmen,38,203,59,578,410.7,1618,112265
Wohnungsunternehmen,24,142,51.5,386,281.7,1057,79145
Immobilienfonds,–,–,–,–,–,–,–
"Land– und Forstw., Tierh., Fischerei",–,–,–,–,–,–,–
Produzierendes Gewerbe,2,1,0.2,2,2.2,8,1068
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",12,59,7.3,190,126.8,553,32052
Private Haushalte,48,49,20.2,126,99,384,26240
Organisationen ohne Erwerbszweck,–,–,–,–,–,–,–
Nichtwohngebäude,17,477,922.1,–,–,–,207117
Anstaltsgebäude,–,–,–,–,–,–,–
Büro– und Verwaltungsgebäude,3,314,686.2,–,–,–,130854
Landwirtschaftliche Betriebsgebäude,–,–,–,–,–,–,–
Nichtlandwirtschaftliche Betriebsgebäude,10,115,166.3,–,–,–,42423
Fabrik– und Werkstattgebäude,1,33,35.5,–,–,–,22313
Handelsgebäude,3,21,19.4,–,–,–,6770
Warenlagergebäude,3,44,78,–,–,–,7920
Hotels und Gaststätten,1,4,9,–,–,–,1309
Sonstige Nichtwohngebäude,4,48,69.7,–,–,–,33840
Ausgewählte Infrastrukturgebäude,5,81,105.2,–,–,–,56153
Öffentliche Bauherren,3,47,67.7,–,–,–,29960
Unternehmen,12,425,843.4,–,–,–,171968
Wohnungsunternehmen,3,99,165.7,–,–,–,48976
Immobilienfonds,–,–,–,–,–,–,–
"Land– und Forstw., Tierh., Fischerei",–,–,–,–,–,–,–
Produzierendes Gewerbe,3,42,47.2,–,–,–,23833
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",6,284,630.6,–,–,–,99159
Private Haushalte,1,4,9,–,–,–,1309
Organisationen o. Erwerbszweck,1,1,2,–,–,–,3880
