type,measures,volume,usage_area,apartments,living_area,living_rooms,estimated_costs
Wohn- und Nichtwohngebäude,83,458,424.9,704,488,1773,244495
Wohngebäude zusammen,73,255,81.1,702,478.8,1758,161664
Wohngebäude mit 1 Wohnung,31,30,13.6,31,47.6,184,17092
Wohngebäude mit 2 Wohnungen,4,5,4.4,8,8,30,2661
Wohngebäude mit 3 o. m. Wohnungen,38,220,63.1,663,423.2,1544,141911
Wohnheime,–,–,–,–,–,–,–
Wohngebäude mit Eigentumswohnungen,13,83,29.3,201,150.4,540,65830
Öffentliche Bauherren,6,16,–,50,32.4,132,12300
Unternehmen,33,196,59.9,580,373.2,1340,125964
Wohnungsunternehmen,27,166,46,507,317.2,1156,109787
Immobilienfonds,2,17,5.3,44,31.8,113,10536
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–,–
Produzierendes Gewerbe,–,–,–,–,–,–,–
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",4,13,8.6,29,24.1,71,5641
Private Haushalte,32,41,21.2,58,69.4,269,22157
Organisationen ohne Erwerbszweck,2,2,–,14,3.8,17,1243
Nichtwohngebäude,10,203,343.8,2,9.3,15,82831
Anstaltsgebäude,–,–,–,–,–,–,–
Büro- und Verwaltungsgebäude,2,129,244.5,2,9.3,15,53953
Landwirtschaftliche Betriebsgebäude,–,–,–,–,–,–,–
Nichtlandwirtschaftliche Betriebsgebäude,7,74,98.6,–,–,–,28104
Fabrik- und Werkstattgebäude,3,62,70.8,–,–,–,23836
Handelsgebäude,1,6,10.3,–,–,–,1777
Warenlagergebäude,1,1,3,–,–,–,500
Hotels und Gaststätten,1,1,3,–,–,–,300
Sonstige Nichtwohngebäude,1,0,0.8,–,–,–,774
Ausgewählte Infrastrukturgebäude,1,0,0.8,–,–,–,774
Öffentliche Bauherren,2,7,11,–,–,–,2551
Unternehmen,8,197,332.8,2,9.3,15,80280
Wohnungsunternehmen,2,29,53.3,2,9.3,15,7479
Immobilienfonds,1,104,202.8,–,–,–,48165
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–,–
Produzierendes Gewerbe,3,62,70.8,–,–,–,23836
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",2,3,6,–,–,–,800
Private Haushalte,–,–,–,–,–,–,–
Organisationen o. Erwerbszweck,–,–,–,–,–,–,–
