type,measures,usage_area,apartments,living_area,living_rooms,estimated_costs
Wohn- und Nichtwohngebäude,164,599.8,916,626.1,2324,354183
Wohngebäude zusammen,144,77.1,814,561.6,2086,191553
Wohnheime,–,–,–,–,–,–
Wohngebäude mit Eigentumswohnungen,19,25.4,211,160.3,569,69387
Öffentliche Bauherren,6,–,50,32.4,132,12300
Unternehmen,66,56.8,648,420.3,1536,140302
Wohnungsunternehmen,59,42.9,571,361.2,1336,122612
Immobilienfonds,2,5.3,44,31.8,113,10536
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,–,–,–,–,–,–
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",5,8.6,33,27.3,87,7154
Private Haushalte,69,22.1,100,103.4,392,36196
Organisationen ohne Erwerbszweck,3,-1.8,16,5.5,26,2755
Nichtwohngebäude,20,522.7,102,64.5,238,162630
Anstaltsgebäude,–,–,–,–,–,–
Büro- und Verwaltungsgebäude,6,196.6,101,63.8,235,62620
Landwirtschaftliche Betriebsgebäude,–,–,–,–,–,–
Nichtlandwirtschaftliche Betriebsgebäude,12,326,–,–,–,99231
Fabrik- und Werkstattgebäude,6,176.5,–,–,–,81631
Handelsgebäude,1,10.3,–,–,–,1777
Warenlagergebäude,2,4.6,–,–,–,501
Hotels und Gaststätten,2,123.1,–,–,–,13631
Sonstige Nichtwohngebäude,2,0.1,1,0.7,3,779
Ausgewählte Infrastrukturgebäude,2,0.1,1,0.7,3,779
Öffentliche Bauherren,2,11,–,–,–,2551
Unternehmen,17,525.1,84,61,220,159883
Wohnungsunternehmen,2,53.3,2,9.3,15,7479
Immobilienfonds,3,163.3,82,51.8,205,55824
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,5,161.8,–,–,–,76971
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",7,146.8,–,–,–,19609
Private Haushalte,–,–,–,–,–,–
Organisationen o. Erwerbszweck,1,-13.5,18,3.5,18,196
