type,measures,usage_area,apartments,living_area,living_rooms,estimated_costs
Wohn- und Nichtwohngebäude,81,174.8,212,138.1,551,109688
Wohngebäude zusammen,71,-4,112,82.8,328,29889
Wohnheime,–,–,–,–,–,–
Wohngebäude mit Eigentumswohnungen,6,-3.8,10,9.9,29,3557
Öffentliche Bauherren,–,–,–,–,–,–
Unternehmen,33,-3.1,68,47.1,196,14338
Wohnungsunternehmen,32,-3.1,64,44,180,12825
Immobilienfonds,–,–,–,–,–,–
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,–,–,–,–,–,–
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",1,–,4,3.1,16,1513
Private Haushalte,37,0.9,42,34,123,14039
Organisationen ohne Erwerbszweck,1,-1.8,2,1.7,9,1512
Nichtwohngebäude,10,178.8,100,55.2,223,79799
Anstaltsgebäude,–,–,–,–,–,–
Büro- und Verwaltungsgebäude,4,-47.9,99,54.6,220,8667
Landwirtschaftliche Betriebsgebäude,–,–,–,–,–,–
Nichtlandwirtschaftliche Betriebsgebäude,5,227.4,–,–,–,71127
Fabrik- und Werkstattgebäude,3,105.7,–,–,–,57795
Handelsgebäude,–,–,–,–,–,–
Warenlagergebäude,1,1.6,–,–,–,1
Hotels und Gaststätten,1,120.1,–,–,–,13331
Sonstige Nichtwohngebäude,1,-0.7,1,0.7,3,5
Ausgewählte Infrastrukturgebäude,1,-0.7,1,0.7,3,5
Öffentliche Bauherren,–,–,–,–,–,–
Unternehmen,9,192.3,82,51.8,205,79603
Wohnungsunternehmen,–,–,–,–,–,–
Immobilienfonds,2,-39.5,82,51.8,205,7659
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,2,91,–,–,–,53135
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",5,140.8,–,–,–,18809
Private Haushalte,–,–,–,–,–,–
Organisationen o. Erwerbszweck,1,-13.5,18,3.5,18,196
