type,measures,usage_area,apartments,living_area,living_rooms,estimated_costs
Wohn- und Nichtwohngebäude,159,484.2,721,485.1,1917,347148
Wohngebäude zusammen,138,26.8,722,487.3,1924,140824
Wohnheime,4,7,210,72.5,314,15123
Wohngebäude mit Eigentumswohnungen,14,3.7,52,54.8,179,19589
Öffentliche Bauherren,9,5.6,320,146.9,608,36023
Unternehmen,53,6.6,283,218.6,816,69192
Wohnungsunternehmen,49,8.5,175,135.8,533,45289
Immobilienfonds,4,"– 1,8",108,82.8,283,23903
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,–,–,–,–,–,–
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",–,–,–,–,–,–
Private Haushalte,74,8.8,99,112.1,465,32665
Organisationen ohne Erwerbszweck,2,5.7,20,9.8,35,2944
Nichtwohngebäude,21,457.5,– 1,"– 2,2",– 7,206324
Anstaltsgebäude,–,–,–,–,–,–
Büro- und Verwaltungsgebäude,4,85.8,–,–,–,48119
Landwirtschaftliche Betriebsgebäude,1,1.6,–,–,–,340
Nichtlandwirtschaftliche Betriebsgebäude,10,160.7,– 1,"– 2,2",– 7,71420
Fabrik- und Werkstattgebäude,4,129.2,–,–,–,64938
Handelsgebäude,1,4.9,–,–,–,1071
Warenlagergebäude,2,20.6,–,–,–,3504
Hotels und Gaststätten,2,5.7,– 1,"– 2,2",– 7,1709
Sonstige Nichtwohngebäude,6,209.5,–,–,–,86445
Ausgewählte Infrastrukturgebäude,7,209.8,–,–,–,86643
Öffentliche Bauherren,3,105,–,–,–,54304
Unternehmen,13,326.5,– 1,"– 2,2",– 7,143817
Wohnungsunternehmen,1,2.2,– 1,"– 2,2",– 7,29
Immobilienfonds,–,–,–,–,–,–
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,7,202.2,–,–,–,109416
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",5,122.1,–,–,–,34372
Private Haushalte,1,2.6,–,–,–,490
Organisationen o. Erwerbszweck,4,23.3,–,–,–,7713
