type,measures,usage_area,apartments,living_area,living_rooms,estimated_costs
Wohn- und Nichtwohngebäude,56,5.7,91,78.8,285,36505
Wohngebäude zusammen,50,"– 12,1",92,81,292,31541
Wohnheime,–,–,–,–,–,–
Wohngebäude mit Eigentumswohnungen,11,"– 4,6",20,24.1,72,9702
Öffentliche Bauherren,1,–,6,4.6,18,1068
Unternehmen,21,"– 10,3",66,50.2,179,22919
Wohnungsunternehmen,19,"– 7,4",58,46.5,169,21267
Immobilienfonds,2,"– 2,9",8,3.7,10,1652
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,–,–,–,–,–,–
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",–,–,–,–,–,–
Private Haushalte,28,"– 1,8",20,26.2,95,7554
Organisationen ohne Erwerbszweck,–,–,–,–,–,–
Nichtwohngebäude,6,17.7,– 1,"– 2,2",– 7,4964
Anstaltsgebäude,–,–,–,–,–,–
Büro- und Verwaltungsgebäude,1,3,–,–,–,1354
Landwirtschaftliche Betriebsgebäude,1,1.6,–,–,–,340
Nichtlandwirtschaftliche Betriebsgebäude,4,13.1,– 1,"– 2,2",– 7,3270
Fabrik- und Werkstattgebäude,1,2.6,–,–,–,490
Handelsgebäude,1,4.9,–,–,–,1071
Warenlagergebäude,–,–,–,–,–,–
Hotels und Gaststätten,2,5.7,– 1,"– 2,2",– 7,1709
Sonstige Nichtwohngebäude,–,–,–,–,–,–
Ausgewählte Infrastrukturgebäude,–,–,–,–,–,–
Öffentliche Bauherren,–,–,–,–,–,–
Unternehmen,4,13.6,– 1,"– 2,2",– 7,4134
Wohnungsunternehmen,1,2.2,– 1,"– 2,2",– 7,29
Immobilienfonds,–,–,–,–,–,–
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,1,3,–,–,–,1354
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",2,8.3,–,–,–,2751
Private Haushalte,1,2.6,–,–,–,490
Organisationen o. Erwerbszweck,1,1.6,–,–,–,340
