type_index,type_parent_index,type,measures,usage_area,apartments,living_area,living_rooms,estimated_costs
0,-1,residential_and_non_residential_buildings,165,312.9,1449,733.4,2931,282595
1,0,residential_buildings,148,60.2,1438,728.1,2902,192040
2,1,dormitories,0,0,0,0.0,0,0
3,1,residential_buildings_with_condominium,27,0.1,733,230.7,1047,76147
4,1,public_builders,3,13.8,173,115.8,436,13962
5,1,companies,67,36.4,1052,476.0,1925,147282
6,5,housing_companies,38,27,283,215.2,740,56497
7,5,real_estate_funds,15,-6.0,32,25.5,89,7745
8,5,agriculture_forestry_animal_husbandry_fishing,0,0,0,0.0,0,0
9,5,manufacturing_industry,0,0,0,0.0,0,0
10,5,trade_banking_services_insurance_transport_and_communications,14,15.4,737,235.3,1096,83040
11,1,private_households,78,10.1,213,136.3,541,30796
12,1,non_profit_organizations,0,0,0,0.0,0,0
13,0,non_residential_buildings,17,252.6,11,5.3,29,90555
14,13,institution_buildings,0,0,0,0.0,0,0
15,13,office_and_administration_buildings,5,122.9,11,5.3,29,27725
16,13,algricultural_buildings,0,0,0,0.0,0,0
17,13,non_algricultural_buildings,8,63.1,0,0.0,0,17565
18,17,factory_and_workshop_buildings,3,44.4,0,0.0,0,8144
19,17,commercial_buildings,3,11.6,0,0.0,0,9298
20,17,warehouse_buildings,2,7.1,0,0.0,0,123
21,17,hotels_and_restaurants,0,0,0,0.0,0,0
22,13,other_non_residential_buildings,4,66.6,0,0.0,0,45265
23,13,selected_infrastructure_buildings,5,90,0,0.0,0,49109
24,13,public_builders,4,97,0,0.0,0,38553
25,13,companies,11,142.3,11,5.3,29,37809
26,25,housing_companies,2,8,11,5.3,29,2198
27,25,real_estate_funds,2,54.5,0,0.0,0,10599
28,25,agriculture_forestry_animal_husbandry_fishing,0,0,0,0.0,0,0
29,25,manufacturing_industry,2,21,0,0.0,0,4300
30,25,trade_banking_services_insurance_transport_and_communications,5,58.7,0,0.0,0,20712
31,13,private_households,0,0,0,0.0,0,0
32,13,non_profit_organisations,2,13.3,0,0.0,0,14193
