type_index,type_parent_index,type,buildings,volume,usage_area,apartments,living_area,living_rooms,estimated_costs
0,-1,residential_and_non_residential_buildings,95,450,242.3,1353,651.2,2681,228819
1,0,residential_buildings,84,313,69.3,1342,645.9,2652,161361
2,1,residential_buildings_with_1_apartment,53,34,11.3,53,71.2,285,17878
3,1,residential_buildings_with_2_apartments,3,6,0.8,6,8.5,51,5804
4,1,residential_buildings_with_3_or_more_apartments,28,274,57.1,1283,566.3,2316,137679
5,1,dormitories,0,0,0.0,0,0.0,0,0
6,1,residential_buildings_with_condominium,11,103,7.6,713,206.9,980,65291
7,1,public_builders,3,50,13.8,173,115.8,436,13962
8,1,companies,38,207,39.4,969,415.3,1731,125834
9,8,housing_companies,27,83,28.4,265,195.6,694,46881
10,8,real_estate_funds,0,0,0.0,0,0.0,0,0
11,8,agriculture_forestry_animal_husbandry_fishing,0,0,0.0,0,0.0,0,0
12,8,manufacturing_industry,0,0,0.0,0,0.0,0,0
13,8,trade_banking_services_insurance_transport_and_communications,11,124,11.0,704,219.7,1037,78953
14,1,private_households,43,57,16.0,200,114.8,485,21565
15,1,non_profit_organizations,0,0,0.0,0,0.0,0,0
16,0,non_residential_buildings,11,137,173.0,11,5.3,29,67458
17,16,institution_buildings,0,0,0.0,0,0.0,0,0
18,16,office_and_administration_buildings,4,46,61.4,11,5.3,29,27682
19,16,algricultural_buildings,0,0,0.0,0,0.0,0,0
20,16,non_algricultural_buildings,4,30,38.0,0,0.0,0,5067
21,20,factory_and_workshop_buildings,2,27,30.9,0,0.0,0,4944
22,20,commercial_buildings,0,0,0.0,0,0.0,0,0
23,20,warehouse_buildings,2,3,7.1,0,0.0,0,123
24,20,hotels_and_restaurants,0,0,0.0,0,0.0,0,0
25,16,other_non_residential_buildings,3,61,73.7,0,0.0,0,34709
26,16,selected_infrastructure_buildings,4,79,97.0,0,0.0,0,38553
27,16,public_builders,4,79,97.0,0,0.0,0,38553
28,16,companies,5,38,62.7,11,5.3,29,14712
29,28,housing_companies,2,5,8.0,11,5.3,29,2198
30,28,real_estate_funds,0,0,0.0,0,0.0,0,0
31,28,agriculture_forestry_animal_husbandry_fishing,0,0,0.0,0,0.0,0,0
32,28,manufacturing_industry,1,9,7.6,0,0.0,0,1100
33,28,trade_banking_services_insurance_transport_and_communications,2,24,47.1,0,0.0,0,11414
34,16,private_households,0,0,0.0,0,0.0,0,0
35,16,non_profit_organisations,2,19,13.3,0,0.0,0,14193
