type_index,type_parent_index,type,measures,usage_area,apartments,living_area,living_rooms,estimated_costs
0,-1,residential_and_non_residential_buildings,226,706.8,869,691.2,2441,496544
1,0,residential_buildings,201,100.7,957,719.5,2616,246477
2,1,dormitories,2,-0.6,-19,0.9,-14,975
3,1,residential_buildings_with_condominium,43,46.6,456,353,1296,98239
4,1,public_builders,2,1.4,88,44.3,151,10229
5,1,companies,78,68.5,783,544,2066,177242
6,5,housing_companies,44,67.8,681,457.7,1749,160244
7,5,real_estate_funds,10,-4.7,70,38,158,10045
8,5,agriculture_forestry_animal_husbandry_fishing,0,0,0,0,0,0
9,5,manufacturing_industry,0,0,0,0,0,0
10,5,trade_banking_services_insurance_transport_and_communications,24,5.4,32,48.4,159,6953
11,1,private_households,120,31.4,84,130.3,395,58120
12,1,non_profit_organizations,1,-0.6,2,0.9,4,886
13,0,non_residential_buildings,25,606,-88,-28.4,-175,250067
14,13,institution_buildings,0,0,0,0,0,0
15,13,office_and_administration_buildings,4,166.7,-90,-30.4,-180,33890
16,13,algricultural_buildings,0,0,0,0,0,0
17,13,non_algricultural_buildings,11,374.3,0,0,0,149413
18,17,factory_and_workshop_buildings,5,297.7,0,0,0,139267
19,17,commercial_buildings,1,-6.1,0,0,0,60
20,17,warehouse_buildings,3,45.3,0,0,0,4859
21,17,hotels_and_restaurants,1,7.9,0,0,0,2410
22,13,other_non_residential_buildings,10,65,2,2,5,66764
23,13,selected_infrastructure_buildings,10,65,2,2,5,66764
24,13,public_builders,6,92.6,0,0,0,39428
25,13,companies,13,477.8,-90,-30.4,-180,197259
26,25,housing_companies,3,75.6,0,0,0,12364
27,25,real_estate_funds,2,28.6,0,0,0,3060
28,25,agriculture_forestry_animal_husbandry_fishing,0,0,0,0,0,0
29,25,manufacturing_industry,3,139.3,0,0,0,69030
30,25,trade_banking_services_insurance_transport_and_communications,5,234.3,-90,-30.4,-180,112805
31,13,private_households,4,29.2,2,2,5,9632
32,13,non_profit_organisations,2,6.4,0,0,0,3748
