type_index,type_parent_index,type,buildings,volume,usage_area,apartments,living_area,living_rooms,estimated_costs
0,-1,residential_and_non_residential_buildings,113,703,724.6,864,620.3,2326,422357
1,0,residential_buildings,94,310,106.8,862,618.3,2321,193439
2,1,residential_buildings_with_1_apartment,58,55,27.4,58,93.3,321,32734
3,1,residential_buildings_with_2_apartments,6,11,4.9,12,19.0,57,5824
4,1,residential_buildings_with_3_or_more_apartments,30,244,74.6,792,506.1,1943,154881
5,1,dormitories,0,0,0.0,0,0.0,0,0
6,1,residential_buildings_with_condominium,18,142,48.4,437,321.4,1233,87144
7,1,public_builders,2,19,1.4,88,44.3,151,10229
8,1,companies,45,235,73.7,718,486.0,1864,148007
9,8,housing_companies,26,205,61.1,647,428.6,1661,139644
10,8,real_estate_funds,1,10,2.0,32,16.8,61,3332
11,8,agriculture_forestry_animal_husbandry_fishing,0,0,0.0,0,0.0,0,0
12,8,manufacturing_industry,0,0,0.0,0,0.0,0,0
13,8,trade_banking_services_insurance_transport_and_communications,18,20,10.6,39,40.7,142,5031
14,1,private_households,47,57,31.7,56,88.0,306,35203
15,1,non_profit_organizations,0,0,0.0,0,0.0,0,0
16,0,non_residential_buildings,19,393,617.8,2,2.0,5,228918
17,16,institution_buildings,0,0,0.0,0,0.0,0,0
18,16,office_and_administration_buildings,2,56,126.0,0,0.0,0,33643
19,16,algricultural_buildings,0,0,0.0,0,0.0,0,0
20,16,non_algricultural_buildings,9,262,383.3,0,0.0,0,148949
21,20,factory_and_workshop_buildings,4,201,300.5,0,0.0,0,138863
22,20,commercial_buildings,0,0,0.0,0,0.0,0,0
23,20,warehouse_buildings,3,31,45.3,0,0.0,0,4859
24,20,hotels_and_restaurants,1,4,7.9,0,0.0,0,2410
25,16,other_non_residential_buildings,8,76,108.5,2,2.0,5,46326
26,16,selected_infrastructure_buildings,8,76,108.5,2,2.0,5,46326
27,16,public_builders,6,68,92.6,0,0.0,0,39428
28,16,companies,9,309,485.2,0,0.0,0,177852
29,28,housing_companies,2,43,65.3,0,0.0,0,12352
30,28,real_estate_funds,1,23,34.7,0,0.0,0,3000
31,28,agriculture_forestry_animal_husbandry_fishing,0,0,0.0,0,0.0,0,0
32,28,manufacturing_industry,2,88,181.3,0,0.0,0,49930
33,28,trade_banking_services_insurance_transport_and_communications,4,155,204.0,0,0.0,0,112570
34,16,private_households,3,12,32.1,2,2.0,5,9228
35,16,non_profit_organisations,1,4,7.9,0,0.0,0,2410
