type_index,type_parent_index,type,buildings,usage_area,apartments,living_area,living_rooms,estimated_costs
0,-1,residential_and_non_residential_buildings,113,"– 17,9",5,70.9,115,74187
1,0,residential_buildings,107,"– 6,1",95,101.2,295,53038
2,1,dormitories,2,"– 0,6",– 19,0.9,–14,975
3,1,residential_buildings_with_condominium,25,"– 1,9",19,31.6,63,11095
4,1,public_builders,0,0,0,0,0,0
5,1,companies,33,"– 5,2",65,58,202,29235
6,5,housing_companies,18,6.7,34,29.1,88,20600
7,5,real_estate_funds,9,"–6,7",38,21.2,97,6713
8,5,agriculture_forestry_animal_husbandry_fishing,0,0,0,0,0,0
9,5,manufacturing_industry,0,0,0,0,0,0
10,5,trade_banking_services_insurance_transport_and_communications,6,"– 5,2",– 7,7.7,17,1922
11,1,private_households,73,"– 0,3",28,42.3,89,22917
12,1,non_profit_organizations,1,"– 0,6",2,0.9,4,886
13,0,non_residential_buildings,6,"– 11,8",– 90,"– 30,4",– 180,21149
14,13,institution_buildings,0,0,0,0,0,0
15,13,office_and_administration_buildings,2,40.7,– 90,"– 30,4",– 180,247
16,13,algricultural_buildings,0,0,0,0,0,0
17,13,non_algricultural_buildings,2,"– 8,9",0,0,0,464
18,17,factory_and_workshop_buildings,1,"– 2,8",0,0,0,404
19,17,commercial_buildings,1,"– 6,1",0,0,0,60
20,17,warehouse_buildings,0,0,0,0,0,0
21,17,hotels_and_restaurants,0,0,0,0,0,0
22,13,other_non_residential_buildings,2,"– 43,5",0,0,0,20438
23,13,selected_infrastructure_buildings,2,"– 43,5",0,0,0,20438
24,13,public_builders,0,0,0,0,0,0
25,13,companies,4,"– 7,4",– 90,"– 30,4",– 180,19407
26,25,housing_companies,1,10.3,0,0,0,12
27,25,real_estate_funds,1,"– 6,1",0,0,0,60
28,25,agriculture_forestry_animal_husbandry_fishing,0,0,0,0,0,0
29,25,manufacturing_industry,1,"– 42,0",0,0,0,19100
30,25,trade_banking_services_insurance_transport_and_communications,1,30.4,– 90,"– 30,4",– 180,235
31,13,private_households,1,"– 2,8",0,0,0,404
32,13,non_profit_organisations,1,"– 1,5",0,0,0,1338
