type_index,type_parent_index,type,buildings,usage_area,apartments,living_area,living_rooms,estimated_costs
0,-1,residential_and_non_residential_buildings,75,-77.5,321,174.3,645,73354
1,0,residential_buildings,64,-117.6,324,179,660,48042
2,1,dormitories,2,-32.1,126,32.1,126,585
3,1,residential_buildings_with_condominium,11,-8.5,14,22.1,53,5343
4,1,public_builders,0,0,0,0,0,0
5,1,companies,23,-113.4,299,152.4,558,38257
6,5,housing_companies,17,-8.5,30,31,113,9592
7,5,real_estate_funds,2,-103.6,262,117.3,426,27551
8,5,agriculture_forestry_animal_husbandry_fishing,0,0,0,0,0,0
9,5,manufacturing_industry,0,0,0,0,0,0
10,5,trade_banking_services_insurance_transport_and_communications,4,-1.3,7,4,19,1114
11,1,private_households,39,-4.2,19,26,93,9248
12,1,non_profit_organizations,2,0,6,0.7,9,537
13,0,non_residential_buildings,11,40.1,-3,-4.7,-15,25312
14,13,institution_buildings,0,0,0,0,0,0
15,13,office_and_administration_buildings,2,5.8,-1,-1.8,-6,2823
16,13,algricultural_buildings,0,0,0,0,0,0
17,13,non_algricultural_buildings,5,17.8,-1,-0.5,-2,3642
18,17,factory_and_workshop_buildings,0,0,0,0,0,0
19,17,commercial_buildings,2,-1.1,0,0,0,2578
20,17,warehouse_buildings,0,0,0,0,0,0
21,17,hotels_and_restaurants,2,2.2,-1,-0.5,-2,219
22,13,other_non_residential_buildings,4,16.5,-1,-2.5,-7,18847
23,13,selected_infrastructure_buildings,3,8.1,-1,-2.5,-7,14087
24,13,public_builders,2,12.4,0,0,0,18817
25,13,companies,6,23,-1,-1.8,-6,6430
26,25,housing_companies,1,3.3,-1,-1.3,-6,2155
27,25,real_estate_funds,1,-3.5,0,0,0,2015
28,25,agriculture_forestry_animal_husbandry_fishing,0,0,0,0,0,0
29,25,manufacturing_industry,2,3.9,0,0,0,747
30,25,trade_banking_services_insurance_transport_and_communications,2,19.3,0,-0.5,0,1513
31,13,private_households,1,0.5,-1,-0.5,-2,35
32,13,non_profit_organisations,2,4.2,-1,-2.5,-7,30
