type,measures,volume,usage_area,apartments,living_area,living_rooms,estimated_costs
Wohn- und Nichtwohngebäude,83,752,946.3,785,577.8,2063,651531
Wohngebäude zusammen,66,288,77,783,574.9,2052,155633
Wohngebäude mit 1 Wohnung,25,21,6,25,36,130,10353
Wohngebäude mit 2 Wohnungen,6,5,2,12,11.4,48,2942
Wohngebäude mit 3 o. m. Wohnungen,35,262,69,746,527.6,1874,142338
Wohnheime,–,–,–,–,–,–,–
Wohngebäude mit Eigentumswohnungen,15,101,25,208,202.7,611,58873
Öffentliche Bauherren,6,36,9.8,121,71.4,293,27893
Unternehmen,22,201,45.2,548,408.2,1409,101953
Wohnungsunternehmen,15,175,39.6,495,360.5,1249,90319
Immobilienfonds,5,19,2.3,38,33.5,114,7955
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–,–
Produzierendes Gewerbe,–,–,–,–,–,–,–
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",2,7,3.3,15,14.2,46,3679
Private Haushalte,38,51,22.1,114,95.4,350,25787
Organisationen ohne Erwerbszweck,–,–,–,–,–,–,–
Nichtwohngebäude,17,464,869.3,2,2.9,11,495898
Anstaltsgebäude,1,76,192.8,–,–,–,43653
Büro- und Verwaltungsgebäude,6,329,526.1,2,2.9,11,427803
Landwirtschaftliche Betriebsgebäude,–,–,–,–,–,–,–
Nichtlandwirtschaftliche Betriebsgebäude,8,54,142.2,–,–,–,21476
Fabrik- und Werkstattgebäude,4,6,10.1,–,–,–,1754
Handelsgebäude,–,–,–,–,–,–,–
Warenlagergebäude,2,5,9.9,–,–,–,1048
Hotels und Gaststätten,1,32,92.6,–,–,–,15467
Sonstige Nichtwohngebäude,2,5,8.1,–,–,–,2966
Ausgewählte Infrastrukturgebäude,4,82,202.5,–,–,–,47275
Öffentliche Bauherren,3,310,478.7,1,2.5,9,413780
Unternehmen,13,152,388.5,–,–,–,81498
Wohnungsunternehmen,1,76,192.8,–,–,–,43653
Immobilienfonds,1,16,42,–,–,–,13006
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–,–
Produzierendes Gewerbe,2,1,3.4,–,–,–,487
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",9,59,150.3,–,–,–,24352
Private Haushalte,1,1,2.1,1,0.4,2,620
Organisationen o. Erwerbszweck,–,–,–,–,–,–,–
