type,measures,usage_area,apartments,living_area,living_rooms,estimated_costs
Wohn- und Nichtwohngebäude,183,971.5,944,712.8,2589,714240
Wohngebäude zusammen,157,74.3,943,713.6,2594,211578
Wohnheime,–,–,–,–,–,–
Wohngebäude mit Eigentumswohnungen,44,27.1,283,272.3,865,88619
Öffentliche Bauherren,7,7.3,123,73.8,297,29243
Unternehmen,53,39.3,692,513.7,1861,142115
Wohnungsunternehmen,33,42.5,551,397.8,1441,107355
Immobilienfonds,15,0.3,117,90.2,338,28463
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,–,–,–,–,–,–
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",5,"– 3,6",24,25.7,82,6297
Private Haushalte,97,27.6,128,126.1,436,40220
Organisationen ohne Erwerbszweck,–,–,–,–,–,–
Nichtwohngebäude,26,897.2,1,"– 0,8",– 5,502662
Anstaltsgebäude,1,192.8,–,–,–,43653
Büro- und Verwaltungsgebäude,8,530.7,1,1,1,429113
Landwirtschaftliche Betriebsgebäude,–,–,–,–,–,–
Nichtlandwirtschaftliche Betriebsgebäude,13,158.2,1,1.5,5,24664
Fabrik- und Werkstattgebäude,5,12.6,–,–,–,2412
Handelsgebäude,2,11.8,–,–,–,2256
Warenlagergebäude,2,9.9,–,–,–,1048
Hotels und Gaststätten,3,94.3,1,1.5,5,15741
Sonstige Nichtwohngebäude,4,15.5,– 1,"– 3,4",– 11,5232
Ausgewählte Infrastrukturgebäude,6,209.8,– 1,"– 3,4",– 11,49541
Öffentliche Bauherren,3,478.7,1,2.5,9,413780
Unternehmen,18,407.4,– 1,"– 1,9",– 10,85722
Wohnungsunternehmen,1,192.8,–,–,–,43653
Immobilienfonds,3,39.6,–,–,–,15850
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,4,8.4,– 1,"– 1,9",– 10,1255
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",10,166.6,–,–,–,24964
Private Haushalte,3,3.8,2,1.9,7,894
Organisationen o. Erwerbszweck,2,7.4,– 1,"– 3,4",– 11,2266
