type,measures,usage_area,apartments,living_area,living_rooms,estimated_costs
Wohn- und Nichtwohngebäude,100,25.2,159,135,526,62709
Wohngebäude zusammen,91,"–2,8",160,138.7,542,55945
Wohnheime,–,–,–,–,–,–
Wohngebäude mit Eigentumswohnungen,29,2.2,75,69.6,254,29746
Öffentliche Bauherren,1,"– 2,4",2,2.4,4,1350
Unternehmen,31,"– 5,9",144,105.5,452,40162
Wohnungsunternehmen,18,2.9,56,37.3,192,17036
Immobilienfonds,10,"– 1,9",79,56.7,224,20508
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,–,–,–,–,–,–
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",3,"– 6,8",9,11.5,36,2618
Private Haushalte,59,5.5,14,30.8,86,14433
Organisationen ohne Erwerbszweck,–,–,–,–,–,–
Nichtwohngebäude,9,27.9,– 1,"– 3,7",– 16,6764
Anstaltsgebäude,–,–,–,–,–,–
Büro- und Verwaltungsgebäude,2,4.6,– 1,"– 1,9",– 10,1310
Landwirtschaftliche Betriebsgebäude,–,–,–,–,–,–
Nichtlandwirtschaftliche Betriebsgebäude,5,16,1,1.5,5,3188
Fabrik- und Werkstattgebäude,1,2.5,–,–,–,658
Handelsgebäude,2,11.8,–,–,–,2256
Warenlagergebäude,–,–,–,–,–,–
Hotels und Gaststätten,2,1.7,1,1.5,5,274
Sonstige Nichtwohngebäude,2,7.4,– 1,"– 3,4",– 11,2266
Ausgewählte Infrastrukturgebäude,2,7.4,– 1,"– 3,4",– 11,2266
Öffentliche Bauherren,–,–,–,–,–,–
Unternehmen,5,18.9,– 1,"– 1,9",– 10,4224
,–,–,–,–,–,–
Wohnungsunternehmen,2,"– 2,4",–,–,–,2844
Immobilienfonds,–,–,–,–,–,–
"Land- und Forstw., Tierh., Fischerei",2,5,– 1,"– 1,9",– 10,768
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",1,16.2,–,–,–,612
Private Haushalte,2,1.7,1,1.5,5,274
Organisationen o. Erwerbszweck,2,7.4,– 1,"– 3,4",– 11,2266
