type,measures,usage_area,apartments,living_area,living_rooms,estimated_costs
Wohn- und Nichtwohngebäude,199,976.1,969,709.5,2587,419600
Wohngebäude zusammen,162,53.9,970,710.5,2591,202393
Wohnheime,1,"– 3,4",1,2.9,37,371
Wohngebäude mit Eigentumswohnungen,42,19.5,420,334.8,1129,97486
Öffentliche Bauherren,10,4.5,183,111.7,443,35741
Unternehmen,50,39.4,636,429.4,1535,113830
Wohnungsunternehmen,31,29.3,415,269.7,1003,66297
Immobilienfonds,4,0.3,9,8.3,24,2293
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,–,–,–,–,–,–
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",15,9.8,212,151.5,508,45240
Private Haushalte,100,10,152,168.6,615,52368
Organisationen ohne Erwerbszweck,2,–,– 1,0.8,– 2,454
Nichtwohngebäude,37,922.1,– 1,"– 1,0",– 4,217207
Anstaltsgebäude,–,–,–,–,–,–
Büro- und Verwaltungsgebäude,14,710.3,–,–,–,170252
Landwirtschaftliche Betriebsgebäude,–,–,–,–,–,–
Nichtlandwirtschaftliche Betriebsgebäude,15,178,–,–,–,32679
Fabrik- und Werkstattgebäude,7,69.2,–,–,–,11766
Handelsgebäude,2,5.4,–,–,–,2140
Warenlagergebäude,2,71.8,–,–,–,10327
Hotels und Gaststätten,4,31.6,–,–,–,8446
Sonstige Nichtwohngebäude,8,33.8,– 1,"– 1,0",– 4,14276
Ausgewählte Infrastrukturgebäude,7,32.4,– 1,"– 1,0",– 4,14008
Öffentliche Bauherren,9,84.3,– 1,"– 1,0",– 4,55068
Unternehmen,23,774.4,–,–,–,145160
Wohnungsunternehmen,1,1.4,–,–,–,537
Immobilienfonds,2,44,–,–,–,16411
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,2,5.1,–,–,–,6107
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",18,723.9,–,–,–,122105
Private Haushalte,5,63.5,–,–,–,16979
Organisationen o. Erwerbszweck,–,–,–,–,–,–
