type,measures,volume,usage_area,apartments,living_area,living_rooms,estimated_costs
Wohn- und Nichtwohngebäude,95,681,923.6,883,605.7,2198,320824
Wohngebäude zusammen,71,319,76.9,883,605.7,2198,162484
Wohngebäude mit 1 Wohnung,33,25,13.7,33,47.3,188,13430
Wohngebäude mit 2 Wohnungen,2,4,0.9,4,7.1,21,1941
Wohngebäude mit 3 o. m. Wohnungen,36,291,62.4,846,551.3,1989,147113
Wohnheime,–,–,–,–,–,–,–
Wohngebäude mit Eigentumswohnungen,24,166,23.9,390,307.4,1018,87915
Öffentliche Bauherren,3,50,4.5,173,104.5,412,34565
Unternehmen,28,210,53.5,603,391.9,1366,99824
Wohnungsunternehmen,18,143,43.3,388,248.6,881,57097
Immobilienfonds,–,–,–,–,–,–,–
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–,–
Produzierendes Gewerbe,–,–,–,–,–,–,–
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",10,67,10.2,215,143.3,485,42727
Private Haushalte,40,59,18.9,107,109.3,420,28095
Organisationen ohne Erwerbszweck,–,–,–,–,–,–,–
Nichtwohngebäude,24,361,846.6,–,–,–,158340
Anstaltsgebäude,–,–,–,–,–,–,–
Büro- und Verwaltungsgebäude,10,269,697.2,–,–,–,133411
Landwirtschaftliche Betriebsgebäude,–,–,–,–,–,–,–
Nichtlandwirtschaftliche Betriebsgebäude,11,84,131.7,–,–,–,18636
Fabrik- und Werkstattgebäude,6,43,66.8,–,–,–,5856
Handelsgebäude,1,4,6.8,–,–,–,790
Warenlagergebäude,1,23,27.9,–,–,–,4000
Hotels und Gaststätten,3,13,30.3,–,–,–,7990
Sonstige Nichtwohngebäude,3,8,17.7,–,–,–,6293
Ausgewählte Infrastrukturgebäude,2,8,16.3,–,–,–,6025
Öffentliche Bauherren,4,34,58.7,–,–,–,21859
Unternehmen,17,318,770.7,–,–,–,129245
Wohnungsunternehmen,–,–,–,–,–,–,–
Immobilienfonds,1,24,45.8,–,–,–,14637
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–,–
Produzierendes Gewerbe,1,1,2.7,–,–,–,197
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",15,293,722.2,–,–,–,114411
Private Haushalte,3,10,17.2,–,–,–,7236
Organisationen o. Erwerbszweck,–,–,–,–,–,–,–
