type,measures,usage_area,apartments,living_area,living_rooms,estimated_costs
Wohn- und Nichtwohngebäude,238,373,1356,891.6,3275,327043
Wohngebäude zusammen,213,21.2,1359,896.3,3290,246681
Wohnheime,2,-32.1,126,32.1,126,585
Wohngebäude mit Eigentumswohnungen,24,"– 1,4",167,161.1,526,42511
Öffentliche Bauherren,15,41.2,580,305,1107,88072
Unternehmen,64,"– 69,5",584,381.3,1428,97675
Wohnungsunternehmen,44,17.8,134,130.2,452,36228
Immobilienfonds,7,-99.1,340,170.8,601,44240
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,3,10.2,33,20.8,123,4242
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",10,1.6,77,59.5,252,12965
Private Haushalte,132,49.5,189,209.3,746,60397
Organisationen ohne Erwerbszweck,2,–,6,0.7,9,537
Nichtwohngebäude,25,351.8,– 3,"– 4,7",– 15,80362
Anstaltsgebäude,–,–,–,–,–,–
Büro- und Verwaltungsgebäude,2,5.8,-1,"– 1,8",-6,2823
Landwirtschaftliche Betriebsgebäude,–,–,–,–,–,–
Nichtlandwirtschaftliche Betriebsgebäude,12,240.7,-1,"– 0,5",– 2,27255
Fabrik- und Werkstattgebäude,1,12,–,–,–,434
Handelsgebäude,2,-1.1,–,–,–,2578
Warenlagergebäude,3,202.1,–,–,–,19756
Hotels und Gaststätten,4,9.6,-1,"– 0,5",-2,3581
Sonstige Nichtwohngebäude,11,105.3,-1,-2.5,-7,50284
Ausgewählte Infrastrukturgebäude,10,96.9,– 1,"– 2,5",– 7,45524
Öffentliche Bauherren,7,98.5,–,–,–,51212
Unternehmen,10,227.2,– 1,"– 1,8",– 6,26418
Wohnungsunternehmen,1,3.3,– 1,"– 1,3",– 6,2155
Immobilienfonds,1,"– 3,5",–,–,–,2015
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,2,3.9,–,–,–,747
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",6,223.4,–,-0.5,–,21501
Private Haushalte,3,13.9,– 1,"– 0,5",– 2,530
Organisationen o. Erwerbszweck,5,12.2,-1,"– 2,5",-7,2202
