type,measures,usage_area,apartments,living_area,living_rooms,estimated_costs
Wohn- und Nichtwohngebäude,75,-77.5,321,174.3,645,73354
Wohngebäude zusammen,64,-117.6,324,179,660,48042
Wohnheime,2,-32.1,126,32.1,126,585
Wohngebäude mit Eigentumswohnungen,11,-8.5,14,22.1,53,5343
Öffentliche Bauherren,–,–,–,–,–,–
Unternehmen,23,-113.4,299,152.4,558,38257
Wohnungsunternehmen,17,-8.5,30,31,113,9592
Immobilienfonds,2,-103.6,262,117.3,426,27551
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,–,–,–,–,–,–
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",4,"– 1,3",7,4,19,1114
Private Haushalte,39,"– 4,2",19,26,93,9248
Organisationen ohne Erwerbszweck,2,–,6,0.7,9,537
Nichtwohngebäude,11,40.1,– 3,"– 4,7",– 15,25312
Anstaltsgebäude,–,–,–,–,–,–
Büro- und Verwaltungsgebäude,2,5.8,-1,-1.8,-6,2823
Landwirtschaftliche Betriebsgebäude,–,–,–,–,–,–
Nichtlandwirtschaftliche Betriebsgebäude,5,17.8,-1,-0.5,-2,3642
Fabrik- und Werkstattgebäude,–,–,–,–,–,–
Handelsgebäude,2,-1.1,–,–,–,2578
Warenlagergebäude,–,–,–,–,–,–
Hotels und Gaststätten,2,2.2,-1,-0.5,-2,219
Sonstige Nichtwohngebäude,4,16.5,-1,-2.5,-7,18847
Ausgewählte Infrastrukturgebäude,3,8.1,– 1,"– 2,5",– 7,14087
Öffentliche Bauherren,2,12.4,–,–,–,18817
Unternehmen,6,23,– 1,"– 1,8",– 6,6430
Wohnungsunternehmen,1,3.3,– 1,"– 1,3",– 6,2155
Immobilienfonds,1,"– 3,5",–,–,–,2015
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,2,3.9,–,–,–,747
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",2,19.3,–,"– 0,5",–,1513
Private Haushalte,1,0.5,– 1,"– 0,5",– 2,35
Organisationen o. Erwerbszweck,2,4.2,-1,-2.5,-7,30
