type,measures,usage_area,apartments,living_area,living_rooms,estimated_costs
Wohn- und Nichtwohngebäude,70,"– 133,4",446,153.7,588,68790
Wohngebäude zusammen,62,"– 166,1",446,153.9,588,22837
Wohnheime,1,"– 153,7",400,105.8,400,517
Wohngebäude mit Eigentumswohnungen,11,"– 0,9",8,9.3,32,2727
Öffentliche Bauherren,1,"– 153,7",400,105.8,400,517
Unternehmen,21,"– 11,3",28,26.7,77,11451
Wohnungsunternehmen,14,"– 13,3",25,25.2,71,6810
Immobilienfonds,–,–,–,–,–,–
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,1,–,–,0.2,1,22
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",6,2,3,1.3,5,4619
Private Haushalte,40,"– 1,0",18,21.5,111,10869
Organisationen ohne Erwerbszweck,–,–,–,–,–,–
Nichtwohngebäude,8,32.6,–,"– 0,2",–,45953
Anstaltsgebäude,–,–,–,–,–,–
Büro- und Verwaltungsgebäude,2,16.6,–,–,–,41830
Landwirtschaftliche Betriebsgebäude,–,–,–,–,–,–
Nichtlandwirtschaftliche Betriebsgebäude,4,11.3,–,–,–,195
Fabrik- und Werkstattgebäude,–,–,–,–,–,–
Handelsgebäude,2,6.6,–,–,–,149
Warenlagergebäude,1,1.4,–,–,–,3
Hotels und Gaststätten,1,3.4,–,–,–,43
Sonstige Nichtwohngebäude,2,4.7,–,"– 0,2",–,3928
Ausgewählte Infrastrukturgebäude,2,4.7,–,"– 0,2",–,3928
Öffentliche Bauherren,1,3.4,–,–,–,43
Unternehmen,4,22.7,–,–,–,41926
Wohnungsunternehmen,–,–,–,–,–,–
Immobilienfonds,1,24,–,–,–,41560
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,1,"– 7,4",–,–,–,270
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",2,6.1,–,–,–,96
Private Haushalte,2,6.1,–,–,–,756
Organisationen o. Erwerbszweck,1,0.4,–,"– 0,2",–,3228
