type,measures,usage_area,apartments,living_area,living_rooms,estimated_costs
Wohn- und Nichtwohngebäude,70,55.9,70,81,224,68420
Wohngebäude zusammen,56,0,65,76,209,29180
Wohnheime,3,0.6,– 3,0,2,295
Wohngebäude mit Eigentumswohnungen,12,"– 1,4",28,32.1,88,10908
Öffentliche Bauherren,1,–,13,6.7,20,2047
Unternehmen,18,"– 4,0",35,40.3,116,13731
Wohnungsunternehmen,12,5.8,9,18.7,25,9246
Immobilienfonds,2,0.7,11,7.7,32,2523
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,–,–,–,–,–,–
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",4,"– 10,5",15,13.9,59,1962
Private Haushalte,36,3.9,18,28.9,67,13350
Organisationen ohne Erwerbszweck,1,0.2,– 1,0.2,6,52
Nichtwohngebäude,14,55.9,5,5,15,39240
Anstaltsgebäude,1,1.1,–,0.2,–,2570
Büro- und Verwaltungsgebäude,3,6.2,5,4.1,13,709
Landwirtschaftliche Betriebsgebäude,–,–,–,–,–,–
Nichtlandwirtschaftliche Betriebsgebäude,2,0.6,–,–,–,2270
Fabrik- und Werkstattgebäude,–,–,–,–,–,–
Handelsgebäude,1,"– 1,8",–,–,–,1970
Warenlagergebäude,–,–,–,–,–,–
Hotels und Gaststätten,1,2.4,–,–,–,300
Sonstige Nichtwohngebäude,8,48,–,0.7,2,33691
Ausgewählte Infrastrukturgebäude,9,49.2,–,0.8,2,36261
Öffentliche Bauherren,4,40.5,– 1,"– 1,1",– 4,28752
Unternehmen,4,"– 0,4",–,"– 2,1",–,2614
Wohnungsunternehmen,1,1.8,–,–,–,350
Immobilienfonds,–,–,–,–,–,–
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,–,–,–,–,–,–
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",3,"– 2,2",–,"– 2,1",–,2264
Private Haushalte,1,"– 4,3",1,1.8,6,600
Organisationen o. Erwerbszweck,5,20.1,5,6.4,13,7274
