type,measures,usage_area,apartments,living_area,living_rooms,estimated_costs
Wohn- und Nichtwohngebäude,160,1362.2,997,651.5,2423,588348
Wohngebäude zusammen,122,81.1,992,646.5,2408,183337
Wohnheime,3,0.6,– 3,0,2,295
Wohngebäude mit Eigentumswohnungen,28,41.9,413,315.4,1030,75792
Öffentliche Bauherren,6,10.9,98,75.5,319,24314
Unternehmen,48,51,757,464.9,1743,114882
Wohnungsunternehmen,37,51,656,400.5,1454,95917
Immobilienfonds,3,1,15,12.1,48,4179
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,–,–,–,–,–,–
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",8,"– 0,9",86,52.3,241,14786
Private Haushalte,66,18.7,132,95.4,309,40539
Organisationen ohne Erwerbszweck,2,0.6,5,10.7,37,3602
Nichtwohngebäude,38,1281.1,5,5,15,405011
Anstaltsgebäude,1,1.1,–,0.2,–,2570
Büro- und Verwaltungsgebäude,12,697.9,5,4.1,13,259526
Landwirtschaftliche Betriebsgebäude,–,–,–,–,–,–
Nichtlandwirtschaftliche Betriebsgebäude,10,259.3,–,–,–,30788
Fabrik- und Werkstattgebäude,3,6.6,–,–,–,580
Handelsgebäude,1,"– 1,8",–,–,–,1970
Warenlagergebäude,3,130.5,–,–,–,8511
Hotels und Gaststätten,2,102.7,–,–,–,16136
Sonstige Nichtwohngebäude,15,322.8,–,0.7,2,112127
Ausgewählte Infrastrukturgebäude,16,323.9,–,0.8,2,114697
Öffentliche Bauherren,6,82.7,– 1,"– 1,1",– 4,38836
Unternehmen,22,1125,–,"– 2,1",–,350301
Wohnungsunternehmen,6,574.7,–,–,–,165279
Immobilienfonds,–,–,–,–,–,–
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,5,232.9,–,–,–,145563
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",11,317.4,–,"– 2,1",–,39459
Private Haushalte,2,24.8,1,1.8,6,5494
Organisationen o. Erwerbszweck,8,48.7,5,6.4,13,10380
