type_index,type_parent_index,type,measures,usage_area,apartments,living_area,living_rooms,estimated_costs
0,-1,residential_and_non_residential_buildings,199,976.1,969,709.5,2587,419600
1,0,residential_buildings,162,53.9,970,710.5,2591,202393
2,1,dormitories,1,"– 3,4",1,2.9,37,371
3,1,residential_buildings_with_condominium,42,19.5,420,334.8,1129,97486
4,1,public_builders,10,4.5,183,111.7,443,35741
5,1,companies,50,39.4,636,429.4,1535,113830
6,5,housing_companies,31,29.3,415,269.7,1003,66297
7,5,real_estate_funds,4,0.3,9,8.3,24,2293
8,5,agriculture_forestry_animal_husbandry_fishing,0,0,0,0,0,0
9,5,manufacturing_industry,0,0,0,0,0,0
10,5,trade_banking_services_insurance_transport_and_communications,15,9.8,212,151.5,508,45240
11,1,private_households,100,10,152,168.6,615,52368
12,1,non_profit_organizations,2,0,– 1,0.8,– 2,454
13,0,non_residential_buildings,37,922.1,– 1,"– 1,0",– 4,217207
14,13,institution_buildings,0,0,0,0,0,0
15,13,office_and_administration_buildings,14,710.3,0,0,0,170252
16,13,algricultural_buildings,0,0,0,0,0,0
17,13,non_algricultural_buildings,15,178,0,0,0,32679
18,17,factory_and_workshop_buildings,7,69.2,0,0,0,11766
19,17,commercial_buildings,2,5.4,0,0,0,2140
20,17,warehouse_buildings,2,71.8,0,0,0,10327
21,17,hotels_and_restaurants,4,31.6,0,0,0,8446
22,13,other_non_residential_buildings,8,33.8,– 1,"– 1,0",– 4,14276
23,13,selected_infrastructure_buildings,7,32.4,– 1,"– 1,0",– 4,14008
24,13,public_builders,9,84.3,– 1,"– 1,0",– 4,55068
25,13,companies,23,774.4,0,0,0,145160
26,25,housing_companies,1,1.4,0,0,0,537
27,25,real_estate_funds,2,44,0,0,0,16411
28,25,agriculture_forestry_animal_husbandry_fishing,0,0,0,0,0,0
29,25,manufacturing_industry,2,5.1,0,0,0,6107
30,25,trade_banking_services_insurance_transport_and_communications,18,723.9,0,0,0,122105
31,13,private_households,5,63.5,0,0,0,16979
32,13,non_profit_organisations,0,0,0,0,0,0
