type_index,type_parent_index,type,buildings,usage_area,apartments,living_area,living_rooms,estimated_costs
0,-1,residential_and_non_residential_buildings,104,52.5,86,103.8,389,98776
1,0,residential_buildings,91,"– 23,0",87,104.8,393,39909
2,1,dormitories,1,"– 3,4",1,2.9,37,371
3,1,residential_buildings_with_condominium,18,"– 4,4",30,27.4,111,9571
4,1,public_builders,7,0,10,7.3,31,1176
5,1,companies,22,"– 14,1",33,37.5,169,14006
6,5,housing_companies,13,"– 14,0",27,21.1,122,9200
7,5,real_estate_funds,4,0.3,9,8.3,24,2293
8,5,agriculture_forestry_animal_husbandry_fishing,0,0,0,0,0,0
9,5,manufacturing_industry,0,0,0,0,0,0
10,5,trade_banking_services_insurance_transport_and_communications,5,"– 0,4",– 3,8.2,23,2513
11,1,private_households,60,"– 8,9",45,59.3,195,24273
12,1,non_profit_organizations,2,0,– 1,0.8,– 2,454
13,0,non_residential_buildings,13,75.5,– 1,"–1,0",– 4,58867
14,13,institution_buildings,0,0,0,0,0,0
15,13,office_and_administration_buildings,4,13.1,0,0,0,36841
16,13,algricultural_buildings,0,0,0,0,0,0
17,13,non_algricultural_buildings,4,46.3,0,0,0,14043
18,17,factory_and_workshop_buildings,1,2.4,0,0,0,5910
19,17,commercial_buildings,1,"– 1,4",0,0,0,1350
20,17,warehouse_buildings,1,44,0,0,0,6327
21,17,hotels_and_restaurants,1,1.3,0,0,0,456
22,13,other_non_residential_buildings,5,16.1,– 1,"– 1,0",– 4,7983
23,13,selected_infrastructure_buildings,5,16.1,– 1,"– 1,0",– 4,7983
24,13,public_builders,5,25.5,– 1,"– 1,0",– 4,33209
25,13,companies,6,3.7,0,0,0,15915
26,25,housing_companies,1,1.4,0,0,0,537
27,25,real_estate_funds,1,"– 1,8",0,0,0,1774
28,25,agriculture_forestry_animal_husbandry_fishing,0,0,0,0,0,0
29,25,manufacturing_industry,1,2.4,0,0,0,5910
30,25,trade_banking_services_insurance_transport_and_communications,3,1.6,0,0,0,7694
31,13,private_households,2,46.3,0,0,0,9743
32,13,non_profit_organisations,0,0,0,0,0,0
