type_index,type_parent_index,type,measures,usage_area,apartments,living_area,living_rooms,estimated_costs
0,-1,residential_and_non_residential_buildings,224,637.2,1210,835,3294,278028
1,0,residential_buildings,202,320.4,1214,839.4,3320,203265
2,1,dormitories,2,8.0,114,26.4,136,12565
3,1,residential_buildings_with_condominium,20,17.5,168,126.1,473,39152
4,1,public_builders,13,32.9,350,235.4,928,44560
5,1,companies,54,218.1,514,347.5,1333,79432
6,5,housing_companies,25,215.5,482,311.1,1182,74355
7,5,real_estate_funds,26,3.9,27,33.5,139,4475
8,5,agriculture_forestry_animal_husbandry_fishing,0,0.0,0,0,0,0
9,5,manufacturing_industry,1,0.0,0,0.3,1,95
10,5,trade_banking_services_insurance_transport_and_communications,2,-1.3,5,2.6,11,507
11,1,private_households,131,55.1,217,212.9,846,59611
12,1,non_profit_organizations,4,14.4,133,43.8,213,19662
13,0,non_residential_buildings,22,316.8,– 4,"– 4,4",– 26,74763
14,13,institution_buildings,0,0.0,0,0,0,0
15,13,office_and_administration_buildings,3,78.4,0,0,0,27807
16,13,algricultural_buildings,0,0.0,0,0,0,0
17,13,non_algricultural_buildings,5,71.0,0,0,0,7986
18,17,factory_and_workshop_buildings,2,38.9,0,0,0,2915
19,17,commercial_buildings,2,13.2,0,0,0,1771
20,17,warehouse_buildings,0,0.0,0,0,0,0
21,17,hotels_and_restaurants,1,18.9,0,0,0,3300
22,13,other_non_residential_buildings,14,167.4,-4,-4.4,-26,38970
23,13,selected_infrastructure_buildings,14,167.4,– 4,"– 4,4",– 26,38970
24,13,public_builders,4,98.0,-1,-0.7,-4,17405
25,13,companies,10,183.9,0,0,0,50483
26,25,housing_companies,0,0.0,0,0,0,0
27,25,real_estate_funds,0,0.0,0,0,0,0
28,25,agriculture_forestry_animal_husbandry_fishing,0,0.0,0,0,0,0
29,25,manufacturing_industry,1,11.4,0,0,0,991
30,25,trade_banking_services_insurance_transport_and_communications,9,172.4,0,0,0,49492
31,13,private_households,0,0.0,0,0,0,0
32,13,non_profit_organisations,8,34.9,-3,-3.8,-22,6875
