type_index,type_parent_index,type,buildings,volume,usage_area,apartments,living_area,living_rooms,estimated_costs
0,-1,residential_and_non_residential_buildings,134,513,540.1,1156,773.9,3071,215390
1,0,residential_buildings,123,388,322.3,1156,773.9,3071,173786
2,1,residential_buildings_with_1_apartment,76,51,23.2,76,101.2,435,20333
3,1,residential_buildings_with_2_apartments,7,8,5.0,14,14.6,65,3092
4,1,residential_buildings_with_3_or_more_apartments,38,313,286.1,952,631.7,2435,137796
5,1,dormitories,2,16,8.0,114,26.4,136,12565
6,1,residential_buildings_with_condominium,6,50,21.6,135,96.0,362,27223
7,1,public_builders,13,110,32.9,350,235.4,928,44560
8,1,companies,32,152,222.4,467,310.1,1191,62875
9,8,housing_companies,10,140,217.1,445,284.6,1059,60653
10,8,real_estate_funds,22,12,5.3,22,25.5,132,2222
11,8,agriculture_forestry_animal_husbandry_fishing,0,0,0.0,0,0.0,0,0
12,8,manufacturing_industry,0,0,0.0,0,0.0,0,0
13,8,trade_banking_services_insurance_transport_and_communications,0,0,0.0,0,0.0,0,0
14,1,private_households,75,98,54.2,206,184.6,739,46714
15,1,non_profit_organizations,3,28,12.9,133,43.8,213,19637
16,0,non_residential_buildings,11,125,217.8,0,0.0,0,41604
17,16,institution_buildings,0,0,0.0,0,0.0,0,0
18,16,office_and_administration_buildings,0,0,0.0,0,0.0,0,0
19,16,algricultural_buildings,0,0,0.0,0,0.0,0,0
20,16,non_algricultural_buildings,4,44,67.1,0,0.0,0,7765
21,20,factory_and_workshop_buildings,2,31,38.9,0,0.0,0,2915
22,20,commercial_buildings,1,5,9.3,0,0.0,0,1550
23,20,warehouse_buildings,0,0,0.0,0,0.0,0,0
24,20,hotels_and_restaurants,1,7,18.9,0,0.0,0,3300
25,16,other_non_residential_buildings,7,81,150.6,0,0.0,0,33839
26,16,selected_infrastructure_buildings,7,81,150.6,0,0.0,0,33839
27,16,public_builders,2,46,93.2,0,0.0,0,17087
28,16,companies,5,68,97.2,0,0.0,0,18934
29,28,housing_companies,0,0,0.0,0,0.0,0,0
30,28,real_estate_funds,0,0,0.0,0,0.0,0,0
31,28,agriculture_forestry_animal_husbandry_fishing,0,0,0.0,0,0.0,0,0
32,28,manufacturing_industry,1,9,11.4,0,0.0,0,991
33,28,trade_banking_services_insurance_transport_and_communications,4,60,85.8,0,0.0,0,17943
34,16,private_households,0,0,0.0,0,0.0,0,0
35,16,non_profit_organisations,4,10,27.4,0,0.0,0,5583
