type,measures,usage_area,apartments,living_area,living_rooms,estimated_costs
Wohn- und Nichtwohngebäude,95,57.1,104,130.4,408,106047
Wohngebäude zusammen,85,"– 2,0",103,130.1,408,69722
Wohnheime,–,–,–,–,–,–
Wohngebäude mit Eigentumswohnungen,24,"– 9,9",37,50.6,137,21018
Öffentliche Bauherren,–,–,–,–,–,–
Unternehmen,35,3.8,76,90.1,273,44390
Wohnungsunternehmen,24,19.8,62,61.7,203,40251
Immobilienfonds,6,"– 12,4",13,18.7,47,2004
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,–,–,–,–,–,–
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",5,"– 3,7",1,9.7,23,2135
Private Haushalte,49,"– 2,8",26,37.2,129,25155
Organisationen ohne Erwerbszweck,1,"– 3,0",1,2.8,6,177
Nichtwohngebäude,10,59,1,0.3,–,36325
Anstaltsgebäude,–,–,–,–,–,–
Büro- und Verwaltungsgebäude,3,13,–,–,–,13881
Landwirtschaftliche Betriebsgebäude,–,–,–,–,–,–
Nichtlandwirtschaftliche Betriebsgebäude,5,40.8,1,0.3,–,16781
Fabrik- und Werkstattgebäude,1,0.7,– 1,"– 0,7",– 2,13566
Handelsgebäude,1,"– 1,0",2,1,2,51
Warenlagergebäude,2,42.2,–,–,–,3064
Hotels und Gaststätten,1,"– 1,1",–,–,–,100
Sonstige Nichtwohngebäude,2,5.3,–,–,–,5663
Ausgewählte Infrastrukturgebäude,2,5.3,–,–,–,5663
Öffentliche Bauherren,2,1.9,–,–,–,8884
Unternehmen,6,55.9,– 1,"– 0,7",– 2,26033
Wohnungsunternehmen,–,–,–,–,–,–
Immobilienfonds,2,14.1,–,–,–,9303
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,1,0.7,– 1,"– 0,7",– 2,13566
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",3,41,–,–,–,3164
Private Haushalte,1,"– 1,0",2,1,2,51
Organisationen o. Erwerbszweck,1,2.3,–,–,–,1357
