type,measures,usage_area,apartments,living_area,living_rooms,estimated_costs
Wohn- und Nichtwohngebäude,307,2871.3,2143,1490.2,5735,1136839
Wohngebäude zusammen,256,222.7,2041,1430.3,5552,365825
Wohnheime,5,16.8,295,71.9,398,24130
Wohngebäude mit Eigentumswohnungen,42,55.2,321,295.3,988,90997
Öffentliche Bauherren,15,90.6,831,431,1853,128600
Unternehmen,116,99.1,1062,827,3073,178150
Wohnungsunternehmen,95,105.4,947,731.6,2743,158149
Immobilienfonds,11,"– 3,0",79,63.9,239,14817
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,–,–,–,–,–,–
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",10,"– 3,3",36,31.5,91,5184
Private Haushalte,124,36.1,147,169.5,620,58898
Organisationen ohne Erwerbszweck,1,"– 3,0",1,2.8,6,177
Nichtwohngebäude,51,2648.6,102,59.9,183,771014
Anstaltsgebäude,2,78.6,–,–,–,27874
Büro- und Verwaltungsgebäude,24,1899.3,101,59.6,183,599056
Landwirtschaftliche Betriebsgebäude,–,–,–,–,–,–
Nichtlandwirtschaftliche Betriebsgebäude,16,525.4,1,0.3,–,75759
Fabrik- und Werkstattgebäude,3,79.3,– 1,"– 0,7",– 2,33683
Handelsgebäude,4,23.2,2,1,2,4545
Warenlagergebäude,5,263.9,–,–,–,18144
Hotels und Gaststätten,2,81.7,–,–,–,14398
Sonstige Nichtwohngebäude,9,145.3,–,–,–,68325
Ausgewählte Infrastrukturgebäude,11,223.9,–,–,–,96199
Öffentliche Bauherren,4,99.2,–,–,–,52910
Unternehmen,39,2456.3,100,58.9,181,677068
Wohnungsunternehmen,5,422.2,101,59.6,183,186725
Immobilienfonds,11,665.3,–,–,–,149252
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,2,2.1,– 1,"– 0,7",– 2,15056
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",21,1366.8,–,–,–,326035
Private Haushalte,1,"– 1,0",2,1,2,51
Organisationen o. Erwerbszweck,7,94.1,–,–,–,40985
