type_index,type_parent_index,type,measures,usage_area,apartments,living_area,living_rooms,estimated_costs
0,-1,residential_and_non_residential_buildings,232,628.8,767,603.4,2218,347989
1,0,residential_buildings,198,88.6,678,539.0,1998,142375
2,1,dormitories,2,0.9,18,7.7,40,1619
3,1,residential_buildings_with_condominium,34,12.9,113,117.3,351,34950
4,1,public_builders,4,7.1,109,71.5,275,14937
5,1,companies,49,37.9,361,253.6,909,66003
6,5,housing_companies,25,11.0,96,99.1,344,30436
7,5,real_estate_funds,19,27.5,257,143.3,527,31855
8,5,agriculture_forestry_animal_husbandry_fishing,0,0.0,0,0.0,0,0
9,5,manufacturing_industry,0,0.0,0,0.0,0,0
10,5,trade_banking_services_insurance_transport_and_communications,5,-0.6,8,11.2,38,3712
11,1,private_households,142,41.8,180,200.8,752,58536
12,1,non_profit_organizations,3,1.7,28,13.1,62,2899
13,0,non_residential_buildings,34,540.1,89,64.4,220,205614
14,13,institution_buildings,0,0.0,0,0.0,0,0
15,13,office_and_administration_buildings,13,449.3,88,64.3,218,142033
16,13,algricultural_buildings,0,0.0,0,0.0,0,0
17,13,non_algricultural_buildings,12,14.6,1,0.7,1,24188
18,17,factory_and_workshop_buildings,3,0.4,1,0.7,3,2984
19,17,commercial_buildings,3,-13.1,0,0.0,0,8469
20,17,warehouse_buildings,3,14.1,0,0.0,0,1010
21,17,hotels_and_restaurants,2,7.9,0,0.0,0,11065
22,13,other_non_residential_buildings,9,76.2,0,-0.5,1,39393
23,13,selected_infrastructure_buildings,9,76.2,0,-0.5,1,39393
24,13,public_builders,8,184.1,-2,-1.7,-6,56905
25,13,companies,20,345.4,92,68.9,235,146302
26,25,housing_companies,3,48.2,50,33.0,110,31524
27,25,real_estate_funds,2,-35.4,0,0.0,0,12034
28,25,agriculture_forestry_animal_husbandry_fishing,0,0.0,0,0.0,0,0
29,25,manufacturing_industry,2,5.0,0,0.0,0,3008
30,25,trade_banking_services_insurance_transport_and_communications,13,327.5,42,35.9,125,99736
31,13,private_households,3,7.8,0,0.0,-2,772
32,13,non_profit_organisations,3,2.8,-1,-2.8,-7,1635
