type_index,type_parent_index,type,buildings,usage_area,apartments,living_area,living_rooms,estimated_costs
0,-1,residential_and_non_residential_buildings,114,174.1,115,132.4,411,140354
1,0,residential_buildings,91,-1.9,76,101.0,301,35602
2,1,dormitories,0,0.0,0,0.0,0,0
3,1,residential_buildings_with_condominium,27,1.6,39,47.4,123,14633
4,1,public_builders,0,0.0,0,0.0,0,0
5,1,companies,28,1.4,58,60.9,183,16885
6,5,housing_companies,13,0.3,30,25.3,94,8677
7,5,real_estate_funds,12,1.8,22,27.3,61,5030
8,5,agriculture_forestry_animal_husbandry_fishing,0,0.0,0,0.0,0,0
9,5,manufacturing_industry,0,0.0,0,0.0,0,0
10,5,trade_banking_services_insurance_transport_and_communications,3,-0.8,6,8.3,28,3178
11,1,private_households,63,-3.3,18,40.0,118,18717
12,1,non_profit_organizations,0,0.0,0,0.0,0,0
13,0,non_residential_buildings,23,176.0,39,31.4,110,104752
14,13,institution_buildings,0,0.0,0,0.0,0,0
15,13,office_and_administration_buildings,10,184.0,38,31.2,108,72840
16,13,algricultural_buildings,0,0.0,0,0.0,0,0
17,13,non_algricultural_buildings,8,-22.1,1,0.7,1,14531
18,17,factory_and_workshop_buildings,2,-1.7,1,0.7,3,654
19,17,commercial_buildings,2,-35.8,0,0.0,0,1902
20,17,warehouse_buildings,1,2.3,0,0.0,0,250
21,17,hotels_and_restaurants,2,7.9,0,0.0,0,11065
22,13,other_non_residential_buildings,5,14.0,0,-0.5,1,17381
23,13,selected_infrastructure_buildings,5,14.0,0,-0.5,1,17381
24,13,public_builders,4,121.9,-2,-1.7,-6,34893
25,13,companies,13,43.4,42,35.9,125,67452
26,25,housing_companies,2,6.4,0,0.0,0,11774
27,25,real_estate_funds,2,-35.4,0,0.0,0,12034
28,25,agriculture_forestry_animal_husbandry_fishing,0,0.0,0,0.0,0,0
29,25,manufacturing_industry,1,2.8,0,0.0,0,678
30,25,trade_banking_services_insurance_transport_and_communications,8,69.5,42,35.9,125,42966
31,13,private_households,3,7.8,0,0.0,-2,772
32,13,non_profit_organisations,3,2.8,-1,-2.8,-7,1635
