type_index,type_parent_index,type,measures,usage_area,apartments,living_area,living_rooms,estimated_costs
0,-1,residential_and_non_residential_buildings,227,1319.3,1511,932.0,3654,454217
1,0,residential_buildings,190,205.9,1474,904.0,3567,250951
2,1,dormitories,1,0.5,12,12.5,24,2189
3,1,residential_buildings_with_condominium,34,53.8,285,237.7,874,63268
4,1,public_builders,2,24.7,530,143.6,800,50000
5,1,companies,76,133.1,727,564.4,2065,150465
6,5,housing_companies,64,127.0,679,520.9,1942,139666
7,5,real_estate_funds,2,-0.3,6,6.4,18,1409
8,5,agriculture_forestry_animal_husbandry_fishing,0,0.0,0,0.0,0,0
9,5,manufacturing_industry,3,0.1,12,12.2,49,2342
10,5,trade_banking_services_insurance_transport_and_communications,7,6.3,30,24.8,56,7048
11,1,private_households,111,47.6,205,183.5,678,48297
12,1,non_profit_organizations,1,0.5,12,12.5,24,2189
13,0,non_residential_buildings,37,1113.4,37,28.1,87,203266
14,13,institution_buildings,0,0.0,0,0.0,0,0
15,13,office_and_administration_buildings,9,143.6,0,0.0,0,41390
16,13,algricultural_buildings,0,0.0,0,0.0,0,0
17,13,non_algricultural_buildings,16,795.8,39,29.9,95,88142
18,17,factory_and_workshop_buildings,4,24.3,0,1.4,4,14521
19,17,commercial_buildings,3,214.1,38,28.1,89,50415
20,17,warehouse_buildings,5,26.9,1,0.4,2,2473
21,17,hotels_and_restaurants,2,5.2,0,0.0,0,1626
22,13,other_non_residential_buildings,12,174.0,-2,-1.8,-8,73734
23,13,selected_infrastructure_buildings,12,174.0,-2,-1.8,-8,73734
24,13,public_builders,7,170.0,0,0.0,0,69760
25,13,companies,22,917.5,36,26.3,81,124925
26,25,housing_companies,2,59.8,38,28.1,89,26000
27,25,real_estate_funds,1,163.5,0,0.0,0,29155
28,25,agriculture_forestry_animal_husbandry_fishing,0,0.0,0,0.0,0,0
29,25,manufacturing_industry,3,38.1,0,0.0,0,11804
30,25,trade_banking_services_insurance_transport_and_communications,16,656.1,-2,-1.8,-8,57966
31,13,private_households,5,5.3,1,1.8,6,1472
32,13,non_profit_organisations,3,20.6,0,0.0,0,7109
