type_index,type_parent_index,type,buildings,volume,usage_area,apartments,living_area,living_rooms,estimated_costs
0,-1,residential_and_non_residential_buildings,155,917,1284.0,1422,824.3,3327,381177
1,0,residential_buildings,130,441,212.6,1383,795.8,3236,220625
2,1,residential_buildings_with_1_apartment,74,51,22.2,74,101.1,379,24330
3,1,residential_buildings_with_2_apartments,3,2,0.7,6,3.8,19,992
4,1,residential_buildings_with_3_or_more_apartments,52,383,189.2,1291,678.4,2814,193114
5,1,dormitories,1,6,0.5,12,12.5,24,2189
6,1,residential_buildings_with_condominium,15,84,53.3,222,170.5,669,44829
7,1,public_builders,2,92,24.7,530,143.6,800,50000
8,1,companies,56,258,130.9,654,491.2,1836,131797
9,8,housing_companies,48,247,128.1,634,471.0,1764,127528
10,8,real_estate_funds,1,2,0.8,4,3.5,11,919
11,8,agriculture_forestry_animal_husbandry_fishing,0,0,0.0,0,0.0,0,0
12,8,manufacturing_industry,3,6,0.1,12,12.2,49,2342
13,8,trade_banking_services_insurance_transport_and_communications,4,2,1.8,4,4.4,12,1008
14,1,private_households,71,85,56.5,187,148.5,576,36639
15,1,non_profit_organizations,1,6,0.5,12,12.5,24,2189
16,0,non_residential_buildings,25,475,1071.4,39,28.5,91,160552
17,16,institution_buildings,0,0,0.0,0,0.0,0,0
18,16,office_and_administration_buildings,8,72,136.5,0,0.0,0,31037
19,16,algricultural_buildings,0,0,0.0,0,0.0,0,0
20,16,non_algricultural_buildings,12,289,779.8,39,28.5,91,76389
21,20,factory_and_workshop_buildings,1,7,12.5,0,0.0,0,4183
22,20,commercial_buildings,3,116,214.1,38,28.1,89,50415
23,20,warehouse_buildings,5,22,26.9,1,0.4,2,2473
24,20,hotels_and_restaurants,1,0,1.0,0,0.0,0,211
25,16,other_non_residential_buildings,5,114,155.1,0,0.0,0,53126
26,16,selected_infrastructure_buildings,5,114,155.1,0,0.0,0,53126
27,16,public_builders,5,116,158.2,0,0.0,0,54250
28,16,companies,16,352,898.5,38,28.1,89,102145
29,28,housing_companies,2,34,59.8,38,28.1,89,26000
30,28,real_estate_funds,1,88,163.5,0,0.0,0,29155
31,28,agriculture_forestry_animal_husbandry_fishing,0,0,0.0,0,0.0,0,0
32,28,manufacturing_industry,2,22,30.8,0,0.0,0,4689
33,28,trade_banking_services_insurance_transport_and_communications,11,208,644.4,0,0.0,0,42301
34,16,private_households,2,1,2.5,1,0.4,2,531
35,16,non_profit_organisations,2,6,12.3,0,0.0,0,3626
