type_index,type_parent_index,type,buildings,usage_area,apartments,living_area,living_rooms,estimated_costs
0,-1,residential_and_non_residential_buildings,72,35.2,89,107.8,327,73040
1,0,residential_buildings,60,-6.7,91,108.2,331,30326
2,1,dormitories,0,0.0,0,0.0,0,0
3,1,residential_buildings_with_condominium,19,0.5,63,67.1,205,18439
4,1,public_builders,0,0.0,0,0.0,0,0
5,1,companies,20,2.2,73,73.2,229,18668
6,5,housing_companies,16,-1.1,45,49.9,178,12138
7,5,real_estate_funds,1,-1.1,2,2.9,7,490
8,5,agriculture_forestry_animal_husbandry_fishing,0,0.0,0,0.0,0,0
9,5,manufacturing_industry,0,0.0,0,0.0,0,0
10,5,trade_banking_services_insurance_transport_and_communications,3,4.4,26,20.4,44,6040
11,1,private_households,40,-8.9,18,35.0,102,11658
12,1,non_profit_organizations,0,0.0,0,0.0,0,0
13,0,non_residential_buildings,12,42.0,-2,-0.4,-4,42714
14,13,institution_buildings,0,0.0,0,0.0,0,0
15,13,office_and_administration_buildings,1,7.0,0,0.0,0,10353
16,13,algricultural_buildings,0,0.0,0,0.0,0,0
17,13,non_algricultural_buildings,4,16.0,0,1.4,4,11753
18,17,factory_and_workshop_buildings,3,11.9,0,1.4,4,10338
19,17,commercial_buildings,0,0.0,0,0.0,0,0
20,17,warehouse_buildings,0,0.0,0,0.0,0,0
21,17,hotels_and_restaurants,1,4.1,0,0.0,0,1415
22,13,other_non_residential_buildings,7,18.9,-2,-1.8,-8,20608
23,13,selected_infrastructure_buildings,7,18.9,-2,-1.8,-8,20608
24,13,public_builders,2,11.8,0,0.0,0,15510
25,13,companies,6,19.1,-2,-1.8,-8,22780
26,25,housing_companies,0,0.0,0,0.0,0,0
27,25,real_estate_funds,0,0.0,0,0.0,0,0
28,25,agriculture_forestry_animal_husbandry_fishing,0,0.0,0,0.0,0,0
29,25,manufacturing_industry,1,7.3,0,0.0,0,7115
30,25,trade_banking_services_insurance_transport_and_communications,5,11.7,-2,-1.8,-8,15665
31,13,private_households,3,2.8,0,1.4,4,941
32,13,non_profit_organisations,1,8.3,0,0.0,0,3483
