type,measures,usage_area,apartments,living_area,living_rooms,estimated_costs
Wohn- und Nichtwohngebäude,160,436.6,729,567.1,1989,332774
Wohngebäude zusammen,130,28.8,717,561.6,1957,142651
Wohnheime,–,–,–,–,–,–
Wohngebäude mit Eigentumswohnungen,28,12,220,157.6,564,42338
Öffentliche Bauherren,1,0,–,1.5,1,420
Unternehmen,49,17.9,606,440.4,1536,109005
Wohnungsunternehmen,42,20.3,586,421.7,1473,102391
Immobilienfonds,3,"– 0,3",16,12.1,41,3909
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,–,–,–,–,–,–
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",4,"– 2,1",4,6.7,22,2705
Private Haushalte,78,10.9,79,86,320,25126
Organisationen ohne Erwerbszweck,2,–,32,33.8,100,8100
Nichtwohngebäude,30,407.8,12,5.5,32,190123
Anstaltsgebäude,–,–,–,–,–,–
Büro- und Verwaltungsgebäude,5,143.4,13,7.1,38,70526
Landwirtschaftliche Betriebsgebäude,–,–,–,–,–,–
Nichtlandwirtschaftliche Betriebsgebäude,16,132,– 1,"– 1,6",– 6,55776
Fabrik- und Werkstattgebäude,4,11.7,–,–,–,2558
Handelsgebäude,3,35.5,–,–,–,13248
Warenlagergebäude,1,4.5,–,–,–,345
Hotels und Gaststätten,7,78.2,– 1,"– 1,6",– 6,27474
Sonstige Nichtwohngebäude,9,132.4,–,–,–,63821
Ausgewählte Infrastrukturgebäude,9,132.4,–,–,–,63821
Öffentliche Bauherren,8,124.4,–,–,–,72493
Unternehmen,19,268.2,12,5.5,32,113151
Wohnungsunternehmen,1,58.3,–,–,–,20697
Immobilienfonds,1,38.1,12,6.1,34,12512
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,3,38.6,1,1,4,4032
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",14,133.3,– 1,"– 1,6",– 6,75910
Private Haushalte,1,5,–,–,–,1000
Organisationen o. Erwerbszweck,2,10.3,–,–,–,3479
