type,measures,usage_area,apartments,living_area,living_rooms,estimated_costs
Wohn- und Nichtwohngebäude,65,1.7,77,47.8,205,73029
Wohngebäude zusammen,57,"– 6,3",78,49.4,211,20151
Wohnheime,–,–,–,–,–,–
Wohngebäude mit Eigentumswohnungen,17,"– 0,2",16,16.3,52,6377
Öffentliche Bauherren,1,0,–,1.5,1,420
Unternehmen,15,"– 6,6",45,15.2,89,9360
Wohnungsunternehmen,9,"– 2,9",37,4,50,5623
Immobilienfonds,2,"– 1,6",4,4.6,17,1032
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,–,–,–,–,–,–
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",4,"– 2,1",4,6.7,22,2705
Private Haushalte,41,0.2,33,32.7,121,10371
Organisationen ohne Erwerbszweck,–,–,–,–,–,–
Nichtwohngebäude,8,8.1,– 1,"– 1,6",– 6,52878
Anstaltsgebäude,–,–,–,–,–,–
Büro- und Verwaltungsgebäude,1,10.1,–,–,–,34220
Landwirtschaftliche Betriebsgebäude,–,–,–,–,–,–
Nichtlandwirtschaftliche Betriebsgebäude,6,"– 4,7",– 1,"– 1,6",– 6,16111
Fabrik- und Werkstattgebäude,1,5,–,–,–,1000
Handelsgebäude,1,"– 26,0",–,–,–,2003
Warenlagergebäude,–,–,–,–,–,–
Hotels und Gaststätten,3,14.1,– 1,"– 1,6",– 6,957
Sonstige Nichtwohngebäude,1,2.7,–,–,–,2547
Ausgewählte Infrastrukturgebäude,1,2.7,–,–,–,2547
Öffentliche Bauherren,2,4.9,–,–,–,14698
Unternehmen,5,"– 1,8",– 1,"– 1,6",– 6,37180
Wohnungsunternehmen,–,–,–,–,–,–
Immobilienfonds,–,–,–,–,–,–
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,–,–,–,–,–,–
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",5,"– 1,8",– 1,"– 1,6",– 6,37180
Private Haushalte,1,5,–,–,–,1000
Organisationen o. Erwerbszweck,–,–,–,–,–,–
