type,measures,usage_area,apartments,living_area,living_rooms,estimated_costs
Wohn- und Nichtwohngebäude,114,174.1,115,132.4,411,140354
Wohngebäude zusammen,91,-1.9,76,101,301,35602
Wohnheime,–,–,–,–,–,–
Wohngebäude mit Eigentumswohnungen,27,1.6,39,47.4,123,14633
Öffentliche Bauherren,–,–,–,–,–,–
Unternehmen,28,1.4,58,60.9,183,16885
Wohnungsunternehmen,13,0.3,30,25.3,94,8677
Immobilienfonds,12,1.8,22,27.3,61,5030
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,–,–,–,–,–,–
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",3,-0.8,6,8.3,28,3178
Private Haushalte,63,-3.3,18,40,118,18717
Organisationen ohne Erwerbszweck,–,–,–,–,–,–
Nichtwohngebäude,23,176,39,31.4,110,104752
Anstaltsgebäude,–,–,–,–,–,–
Büro- und Verwaltungsgebäude,10,184,38,31.2,108,72840
Landwirtschaftliche Betriebsgebäude,–,–,–,–,–,–
Nichtlandwirtschaftliche Betriebsgebäude,8,-22.1,1,0.7,1,14531
Fabrik- und Werkstattgebäude,2,-1.7,1,0.7,3,654
Handelsgebäude,2,-35.8,–,–,–,1902
Warenlagergebäude,1,2.3,–,–,–,250
Hotels und Gaststätten,2,7.9,–,–,–,11065
Sonstige Nichtwohngebäude,5,14,–,-0.5,1,17381
Ausgewählte Infrastrukturgebäude,5,14,–,-0.5,1,17381
Öffentliche Bauherren,4,121.9,-2,-1.7,-6,34893
Unternehmen,13,43.4,42,35.9,125,67452
Wohnungsunternehmen,2,6.4,–,–,–,11774
Immobilienfonds,2,-35.4,–,–,–,12034
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,1,2.8,–,–,–,678
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",8,69.5,42,35.9,125,42966
Private Haushalte,3,7.8,–,–,-2,772
Organisationen o. Erwerbszweck,3,2.8,-1,-2.8,-7,1635
