type,measures,usage_area,apartments,living_area,living_rooms,estimated_costs
Wohn- und Nichtwohngebäude,232,628.8,767,603.4,2218,347989
Wohngebäude zusammen,198,88.6,678,539,1998,142375
Wohnheime,2,0.9,18,7.7,40,1619
Wohngebäude mit Eigentumswohnungen,34,12.9,113,117.3,351,34950
Öffentliche Bauherren,4,7.1,109,71.5,275,14937
Unternehmen,49,37.9,361,253.6,909,66003
Wohnungsunternehmen,25,11,96,99.1,344,30436
Immobilienfonds,19,27.5,257,143.3,527,31855
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,–,–,–,–,–,–
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",5,-0.6,8,11.2,38,3712
Private Haushalte,142,41.8,180,200.8,752,58536
Organisationen ohne Erwerbszweck,3,1.7,28,13.1,62,2899
Nichtwohngebäude,34,540.1,89,64.4,220,205614
Anstaltsgebäude,–,–,–,–,–,–
Büro- und Verwaltungsgebäude,13,449.3,88,64.3,218,142033
Landwirtschaftliche Betriebsgebäude,–,–,–,–,–,–
Nichtlandwirtschaftliche Betriebsgebäude,12,14.6,1,0.7,1,24188
Fabrik- und Werkstattgebäude,3,0.4,1,0.7,3,2984
Handelsgebäude,3,-13.1,–,–,–,8469
Warenlagergebäude,3,14.1,–,–,–,1010
Hotels und Gaststätten,2,7.9,–,–,–,11065
Sonstige Nichtwohngebäude,9,76.2,–,-0.5,1,39393
Ausgewählte Infrastrukturgebäude,9,76.2,–,-0.5,1,39393
Öffentliche Bauherren,8,184.1,-2,-1.7,-6,56905
Unternehmen,20,345.4,92,68.9,235,146302
Wohnungsunternehmen,3,48.2,50,33,110,31524
Immobilienfonds,2,-35.4,–,–,–,12034
"Land- und Forstw., Tierh., Fischerei",–,–,–,–,–,–
Produzierendes Gewerbe,2,5,–,–,–,3008
"Handel, Kreditinst., Dienstleistung, Versicherung, Verkehr u. Nachr.überm.",13,327.5,42,35.9,125,99736
Private Haushalte,3,7.8,–,–,-2,772
Organisationen o. Erwerbszweck,3,2.8,-1,-2.8,-7,1635
